,No.,Ticker,Market Cap,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Price,Change,Volume
0,1,A,35.81B,0.74%,12.60%,24.80%,16.90%,2.40,1.70,0.47,0.47,54.60%,24.00%,19.20%,May 23/a,121.13,-0.08%,3939930
1,2,AAL,10.87B,-,-,-,5.20%,0.70,0.60,-,-,59.10%,-,-,Apr 27/b,16.48,-1.02%,22625167
2,3,AAPL,2925.70B,0.52%,27.60%,165.70%,58.30%,0.90,0.90,1.56,1.76,43.20%,29.20%,24.50%,May 04/a,184.92,-0.59%,95747006
3,4,ABBV,239.75B,4.27%,5.40%,49.30%,20.50%,1.00,0.80,4.47,4.68,71.00%,28.50%,13.30%,Apr 27/b,138.64,2.02%,14593437
4,5,ABC,36.83B,1.06%,2.80%,-,34.50%,0.90,0.50,16.57,17.51,3.40%,0.90%,0.70%,May 02/b,183.01,0.62%,2000327
5,6,ABEV,49.75B,4.66%,10.70%,17.20%,23.20%,1.00,0.60,0.03,0.04,49.70%,24.40%,18.00%,-,3.09,-1.28%,20356797
6,7,ABNB,81.75B,-,11.40%,37.50%,22.60%,1.50,1.50,0.38,0.38,69.50%,20.70%,23.30%,May 09/a,128.68,0.65%,6883826
7,8,ABT,182.62B,1.92%,7.90%,15.90%,13.00%,1.70,1.20,0.39,0.46,55.50%,16.80%,14.00%,Apr 19/b,106.2,1.12%,10012623
8,9,ACGL,26.13B,-,4.10%,16.40%,8.90%,-,-,0.21,0.21,-,18.40%,18.30%,Apr 26/a,71.16,1.44%,3296161
9,10,ACGLN,26.50B,5.79%,-,-,-,-,-,-,-,-,-,-,-,19.63,-0.10%,28769
10,11,ACI,12.19B,2.25%,4.30%,44.50%,17.90%,0.70,0.20,4.86,5.53,28.00%,3.00%,1.60%,Apr 11/b,21.37,0.61%,13976210
11,12,ACM,12.00B,0.83%,3.30%,14.80%,10.90%,1.10,1.10,0.83,0.85,6.50%,5.30%,2.70%,May 08/a,86.67,0.42%,2080228
12,13,ACN,204.47B,1.40%,14.70%,30.80%,31.90%,1.30,1.30,0.00,0.00,32.10%,14.70%,11.00%,Jun 22/b,319.54,-1.31%,5259178
13,14,ADBE,225.18B,-,17.80%,33.60%,26.70%,1.10,1.10,0.26,0.26,87.80%,33.10%,25.80%,Jun 15/a,495.18,0.87%,13324076
14,15,ADI,95.10B,1.83%,7.20%,10.00%,6.80%,1.80,1.20,0.18,0.19,65.70%,33.10%,28.20%,May 24/b,188.36,-0.69%,6886920
15,16,ADM,40.61B,2.38%,7.50%,18.30%,9.80%,1.50,0.90,0.31,0.42,7.60%,4.20%,4.40%,Apr 25/b,75.48,1.23%,5522403
16,17,ADP,91.29B,2.26%,5.80%,104.50%,47.10%,1.00,1.00,0.81,0.81,44.40%,24.20%,18.50%,Apr 26/b,221.32,0.16%,3335514
17,18,ADSK,47.32B,-,9.50%,90.90%,25.30%,0.70,0.70,2.54,0.00,90.40%,19.40%,16.40%,May 25/a,213.5,-3.58%,3287110
18,19,AEE,22.05B,3.00%,2.90%,10.50%,5.20%,0.70,0.50,1.34,1.46,70.10%,18.90%,13.30%,May 05/b,84.08,0.13%,2812984
19,20,AEG,10.29B,6.99%,-0.60%,-14.40%,-,-,-,0.48,0.48,-,-,-,-,4.79,-2.44%,1361677
20,21,AEM,24.80B,3.14%,9.50%,13.90%,4.70%,2.30,1.10,0.12,0.13,56.20%,26.20%,40.10%,Apr 27/a,51.0,1.15%,3136496
21,22,AEP,43.70B,3.91%,2.20%,8.30%,5.40%,0.60,0.50,1.52,1.80,63.00%,16.20%,10.10%,May 04/b,84.93,0.06%,5314597
22,23,AER,14.63B,-,2.40%,10.90%,0.90%,-,-,2.89,2.89,87.60%,45.50%,25.20%,May 02/b,61.2,-0.67%,1192506
23,24,AES,14.38B,3.11%,-1.30%,-26.00%,2.20%,1.10,1.00,14.83,16.29,20.10%,6.60%,-3.90%,May 05/b,21.34,-0.70%,12276062
24,25,AESC,14.28B,8.28%,-,-,-,-,-,-,-,-,-,-,-,83.04,-0.29%,49825
25,26,AFL,42.15B,2.42%,3.30%,19.30%,16.10%,-,-,0.37,0.37,-,25.60%,22.90%,Apr 26/a,69.43,-0.47%,5584958
26,27,AGR,14.98B,4.55%,1.70%,3.50%,2.90%,0.70,0.60,0.42,0.51,67.40%,9.90%,8.20%,Apr 25/a,38.66,-0.18%,893338
27,28,AIG,40.98B,2.51%,1.10%,14.40%,17.80%,-,-,0.56,0.61,-,18.30%,11.70%,May 04/a,57.3,1.20%,10315800
28,29,AJG,45.76B,1.03%,2.90%,12.80%,9.20%,1.10,1.10,0.61,0.70,44.90%,18.80%,13.20%,Apr 27/a,213.78,0.07%,1553878
29,30,AKAM,14.01B,-,6.10%,11.80%,8.30%,2.00,2.00,0.55,0.00,61.10%,17.40%,13.80%,May 09/a,91.5,-0.62%,3710643
30,31,ALB,27.10B,0.70%,24.80%,49.00%,18.60%,1.90,1.00,0.35,0.35,44.50%,37.10%,41.90%,May 03/a,228.17,-1.19%,2347804
31,32,ALC,39.97B,-,-,-,-,-,-,-,-,-,-,-,May 09/a,81.27,0.47%,929124
32,33,ALGN,25.50B,-,5.30%,8.80%,11.20%,1.20,1.00,0.00,0.00,69.80%,15.60%,8.50%,Apr 26/a,330.29,-0.87%,1257852
33,34,ALL,29.06B,3.20%,-2.40%,-14.70%,-5.80%,-,-,0.54,0.54,-,-5.80%,-4.50%,May 03/a,111.17,0.57%,3777524
34,35,ALLE,10.46B,1.52%,12.40%,55.00%,17.20%,1.90,1.20,2.02,2.04,41.00%,18.20%,14.10%,Apr 26/b,118.43,-0.43%,2881474
35,36,ALNY,25.20B,-,-30.90%,-,-100.80%,3.80,3.60,-,-,83.60%,-75.60%,-93.10%,May 04/b,201.57,-0.38%,847459
36,37,AMAT,117.66B,0.92%,23.60%,50.10%,38.00%,2.30,1.50,0.39,0.41,46.30%,29.30%,24.40%,May 18/a,138.93,-0.84%,8842976
37,38,AMCR,15.13B,4.73%,5.60%,23.40%,8.90%,1.30,0.70,1.60,1.65,18.70%,9.60%,6.50%,May 02/a,10.35,0.68%,19427395
38,39,AMD,200.07B,-,0.60%,0.70%,2.40%,2.40,1.70,0.05,0.00,44.00%,0.80%,1.70%,May 02/a,120.08,-3.35%,81648013
39,40,AME,36.11B,0.64%,9.70%,16.30%,12.50%,1.80,1.10,0.28,0.29,35.10%,24.70%,19.00%,May 02/b,155.91,-0.50%,1748880
40,41,AMGN,122.06B,3.71%,11.40%,210.00%,20.60%,3.10,2.80,11.36,11.52,75.10%,35.00%,30.20%,Apr 27/a,229.66,0.53%,6760699
41,42,AMH,12.78B,2.49%,2.60%,4.80%,1.50%,-,-,0.64,0.64,55.40%,11.10%,20.30%,May 04/a,35.4,0.28%,4753384
42,43,AMP,33.92B,1.66%,1.40%,57.10%,6.90%,-,-,1.43,9.67,50.60%,23.90%,15.20%,Apr 24/a,325.0,-0.18%,936930
43,44,AMT,90.54B,3.26%,2.10%,23.00%,5.30%,0.50,0.50,6.42,7.13,69.80%,22.20%,12.80%,Apr 26/b,192.89,-0.71%,3281162
44,45,AMX,70.29B,2.89%,-,-,12.30%,0.70,0.60,1.26,1.84,42.60%,-,-,-,22.02,-0.90%,1114980
45,46,AMZN,1304.19B,-,1.00%,3.00%,6.60%,0.90,0.70,0.55,0.56,44.70%,2.50%,0.80%,Apr 27/a,125.49,-1.27%,83469181
46,47,ANET,50.39B,-,23.10%,32.60%,26.60%,4.00,2.70,0.00,0.00,60.30%,35.70%,31.20%,May 01/a,157.79,-3.47%,4497419
47,48,ANSS,29.19B,-,8.70%,11.90%,9.60%,2.10,2.10,0.16,0.00,88.20%,29.70%,25.70%,May 03/a,334.37,-0.72%,886679
48,49,AON,67.62B,0.75%,7.90%,-,31.20%,1.10,1.10,-,-,-,30.00%,20.60%,Apr 28/b,329.38,-0.51%,1463286
49,50,AOS,10.61B,1.69%,7.30%,13.70%,11.30%,1.80,1.30,0.18,0.19,36.40%,6.40%,6.50%,Apr 27/b,71.0,0.69%,1763806
50,51,APA,10.70B,2.91%,15.40%,396.50%,76.90%,1.10,0.90,13.05,13.06,70.60%,44.50%,19.50%,May 03/a,34.38,-0.84%,9091358
51,52,APD,64.59B,2.39%,7.70%,15.90%,8.80%,2.00,1.80,0.64,0.65,27.50%,18.00%,16.60%,May 09/b,293.17,0.83%,1809753
52,53,APH,48.74B,1.02%,12.60%,28.00%,17.60%,2.60,1.80,0.62,0.62,32.00%,20.50%,15.20%,Apr 26/b,82.15,0.34%,3715840
53,54,APLS,10.43B,-,-76.50%,-225.90%,-103.40%,6.90,6.30,1.01,1.08,88.50%,-,-,May 04/a,89.27,-0.37%,2001521
54,55,APO,43.91B,2.11%,-0.50%,-32.80%,-36.70%,-,-,0.81,0.81,-,-14.00%,-10.50%,May 09/b,77.08,-0.40%,4105090
55,56,APTV,27.40B,-,2.90%,7.10%,7.10%,1.70,1.20,0.72,0.73,15.50%,7.00%,3.30%,May 04/b,101.44,0.16%,3239850
56,57,ARCC,10.17B,10.28%,-,-,-,-,-,-,-,-,-,-,Apr 25/b,18.68,0.16%,8978360
57,58,ARE,20.96B,4.30%,-,-,1.90%,-,-,0.61,0.61,69.80%,-,-,Apr 24/a,115.45,-4.70%,2916077
58,59,ARES,28.48B,3.26%,0.90%,12.50%,1.60%,-,-,8.02,8.02,-,12.30%,6.30%,Apr 28/b,94.43,-0.88%,1798428
59,60,ARGX,21.99B,-,-17.30%,-19.10%,-24.80%,9.20,8.40,0.00,0.00,92.40%,-,-88.60%,May 04/b,399.94,0.99%,187463
60,61,ARMK,10.48B,1.09%,1.60%,8.00%,5.40%,1.20,1.00,2.48,2.52,9.40%,4.10%,1.40%,May 09/b,40.53,0.77%,3285311
61,62,ASML,297.31B,1.38%,20.20%,80.50%,42.30%,1.20,0.80,0.36,0.00,50.80%,32.50%,28.20%,Apr 19/b,721.88,-2.28%,1336013
62,63,ASX,18.00B,6.46%,7.80%,19.60%,12.90%,1.20,0.80,0.49,0.66,19.10%,10.90%,8.40%,Apr 27/b,8.85,-1.01%,6981151
63,64,ATO,16.98B,2.53%,3.70%,8.60%,4.80%,1.00,0.80,0.64,0.64,59.60%,22.00%,18.20%,May 03/a,117.0,-0.42%,1510044
64,65,ATVI,64.03B,0.57%,7.10%,9.70%,6.30%,5.20,5.20,0.18,0.18,70.40%,24.50%,22.80%,Apr 27/a,81.97,0.64%,12232423
65,66,AU,10.37B,1.93%,3.70%,7.30%,5.50%,2.50,1.60,0.50,0.53,25.30%,11.50%,6.60%,-,24.16,-1.63%,4446923
66,67,AVB,27.05B,3.43%,-,-,2.70%,-,-,0.72,0.72,64.70%,-,-,Apr 26/a,192.45,1.01%,1635482
67,68,AVGO,364.58B,2.12%,18.80%,61.00%,21.40%,2.40,2.10,1.74,1.79,67.70%,45.20%,38.70%,Jun 01/a,868.11,-1.73%,6824997
68,69,AVTR,13.43B,-,4.60%,12.90%,8.60%,1.60,1.00,1.15,1.21,34.60%,14.20%,8.30%,Apr 28/b,19.95,0.25%,8557076
69,70,AVY,13.65B,1.89%,8.40%,33.90%,14.60%,1.10,0.70,1.42,1.74,26.30%,10.10%,7.80%,Apr 26/b,171.09,1.19%,921733
70,71,AWK,28.82B,1.90%,3.00%,10.20%,5.50%,0.70,0.70,1.10,1.17,-,34.50%,21.40%,Apr 26/a,148.98,0.60%,2040747
71,72,AXON,14.93B,-,5.60%,10.80%,2.30%,3.30,3.00,0.48,0.48,60.90%,7.30%,10.80%,May 09/a,202.36,0.13%,3199447
72,73,AXP,129.18B,1.39%,3.20%,29.30%,4.20%,-,-,1.58,6.30,64.80%,15.60%,12.40%,Apr 20/b,172.21,-0.92%,4613584
73,74,AZN,229.31B,1.93%,4.90%,13.10%,6.90%,0.90,0.70,0.77,0.88,80.60%,12.40%,10.70%,Apr 27/b,75.22,0.80%,4899807
74,75,AZO,45.34B,-,16.00%,-62.40%,90.60%,0.80,0.10,-,-,51.60%,19.60%,14.50%,May 23/b,2493.83,-0.14%,417251
75,76,AZPN,10.82B,-,-0.50%,-0.60%,0.40%,2.50,2.50,0.00,0.00,63.70%,-15.60%,-8.10%,Apr 26/a,167.33,0.31%,488136
76,77,BA,132.00B,-,-3.00%,25.80%,-8.70%,1.20,0.30,-,-,7.20%,-3.60%,-5.90%,Apr 26/b,219.99,0.26%,7771621
77,78,BABA,238.57B,-,4.20%,7.50%,7.40%,1.80,1.80,0.15,0.16,36.70%,11.60%,8.30%,May 18/b,92.1,-0.11%,24987197
78,79,BAC,234.05B,3.01%,0.90%,11.10%,6.30%,-,-,1.08,2.60,-,58.80%,30.60%,Apr 18/b,29.19,-0.61%,51849290
79,80,BAH,14.05B,1.73%,4.30%,23.90%,10.20%,1.20,1.20,2.79,2.83,53.50%,5.20%,2.90%,May 26/b,108.61,1.15%,1171995
80,81,BALL,17.14B,1.37%,2.20%,12.80%,8.40%,0.80,0.50,2.01,2.66,16.70%,6.00%,3.00%,May 04/b,58.43,7.23%,11536699
81,82,BAM,13.96B,3.85%,9.90%,24.80%,17.10%,-,-,0.01,0.00,-,63.80%,53.10%,May 10/b,33.26,-1.77%,2063425
82,83,BAP,14.01B,4.55%,2.00%,17.30%,13.80%,-,-,0.80,0.80,-,60.40%,30.00%,May 05/a,149.29,0.60%,610284
83,84,BATRA,30.69B,-,-5.30%,-26.60%,-4.30%,0.90,0.90,2.02,2.35,-,-6.20%,-13.60%,May 05/b,41.33,-0.12%,184625
84,85,BATRK,30.28B,-,-,-,-,-,-,-,-,-,-,-,May 05/b,39.73,-0.95%,250946
85,86,BAX,22.49B,2.56%,-8.50%,-37.70%,-9.60%,1.70,1.10,2.60,2.79,36.00%,-13.80%,-16.30%,Apr 27/b,45.36,2.02%,7916070
86,87,BBD,34.76B,5.61%,-,-,-,-,-,-,-,-,-,-,-,3.51,-0.28%,21857921
87,88,BBVA,43.97B,9.45%,0.90%,13.50%,11.90%,-,-,1.17,1.17,-,47.70%,17.70%,Apr 28/b,7.45,0.81%,1079221
88,89,BBY,17.23B,4.61%,8.40%,46.10%,35.90%,1.00,0.30,0.41,0.42,21.50%,3.60%,2.90%,May 25/b,79.79,1.03%,6434063
89,90,BCE,41.39B,6.36%,3.70%,13.70%,8.20%,0.60,0.50,1.52,1.87,67.70%,20.30%,10.50%,May 04/b,45.7,0.64%,1814152
90,91,BCH,10.73B,16.81%,2.50%,29.60%,8.00%,-,-,2.14,3.48,-,40.30%,30.10%,-,21.25,0.24%,440888
91,92,BCS,30.29B,7.06%,0.40%,8.50%,2.60%,-,-,1.82,1.82,-,-,-,Apr 27/b,7.93,0.13%,8804747
92,93,BDX,72.75B,1.41%,2.90%,6.00%,5.20%,1.30,0.80,0.62,0.71,45.30%,11.80%,8.10%,May 04/b,258.63,0.96%,1481696
93,94,BEKE,20.09B,-,1.80%,2.90%,-4.50%,2.00,2.00,0.00,0.01,26.20%,3.70%,2.90%,May 18/b,16.98,-0.59%,7937395
94,95,BEN,13.67B,4.45%,2.80%,7.00%,6.80%,-,-,0.89,0.89,-,15.30%,10.30%,May 01/b,26.97,-1.21%,3236943
95,96,BF-A,31.60B,1.23%,-,-,-,-,-,-,-,-,-,-,Jun 07/b,66.91,-0.93%,351009
96,97,BF-B,31.64B,1.26%,12.90%,30.50%,18.50%,2.00,0.90,0.67,1.00,59.00%,29.50%,21.00%,Jun 07/b,65.4,0.31%,2667339
97,98,BG,14.19B,2.75%,6.00%,17.00%,13.90%,1.80,1.00,0.43,0.57,5.60%,3.40%,2.30%,May 03/b,96.43,2.37%,2803253
98,99,BGNE,19.63B,-,-,-,-37.20%,3.70,3.50,0.05,0.12,80.50%,-,-,May 04/b,200.21,-0.41%,550005
99,100,BHP,159.16B,8.39%,28.10%,58.90%,38.10%,1.70,1.30,0.30,0.35,-,49.90%,46.30%,-,63.17,-1.27%,2867132
100,101,BIDU,51.99B,-,3.50%,6.20%,3.40%,2.90,2.90,0.28,0.38,49.70%,14.50%,10.80%,May 16/b,145.11,-2.42%,2842350
101,102,BIIB,43.11B,-,12.60%,24.20%,9.80%,3.20,2.80,0.46,0.00,78.40%,24.40%,31.00%,Apr 25/b,297.48,-0.12%,1914252
102,103,BILL,12.17B,-,-3.10%,-7.20%,-5.40%,1.90,1.90,0.45,0.45,76.10%,-35.10%,-30.40%,May 04/a,111.26,-2.80%,2161262
103,104,BIO,11.18B,-,-1.50%,-2.10%,14.30%,5.60,4.30,0.12,0.12,55.00%,14.00%,-6.80%,May 04/a,376.56,-0.66%,513109
104,105,BIP,16.79B,4.32%,0.10%,0.80%,7.00%,-,-,5.51,0.00,36.90%,-,0.40%,May 03/b,35.41,-3.30%,499307
105,106,BK,35.41B,3.31%,0.60%,7.20%,4.00%,-,-,0.92,0.92,-,37.60%,25.00%,Apr 18/b,44.65,-0.49%,12628224
106,107,BKNG,98.67B,-,16.60%,139.60%,27.70%,1.60,1.60,10.50,11.29,-,29.60%,22.10%,May 04/a,2640.99,-1.15%,828632
107,108,BKR,30.61B,2.49%,-0.30%,-0.70%,0.60%,1.30,0.90,0.41,0.45,21.00%,4.10%,-0.40%,Apr 19/b,30.57,1.09%,12498282
108,109,BLDR,15.77B,-,21.90%,48.90%,37.10%,1.80,1.10,0.69,0.69,34.80%,16.10%,11.70%,May 03/b,121.41,-1.30%,7814256
109,110,BLK,106.51B,2.85%,4.10%,13.10%,11.50%,-,-,0.18,0.00,80.90%,34.80%,28.10%,Apr 14/b,702.78,-1.18%,1280969
110,111,BMO,63.96B,4.80%,0.60%,9.90%,4.50%,-,-,0.40,2.53,-,36.80%,16.60%,May 24/b,90.21,0.55%,489824
111,112,BMRN,17.99B,-,1.10%,1.60%,2.50%,4.80,3.20,0.23,0.00,77.30%,3.30%,3.30%,Apr 26/a,96.29,0.47%,1423791
112,113,BMY,135.86B,3.45%,7.50%,22.80%,11.80%,1.40,1.30,1.10,1.19,77.80%,22.70%,15.90%,Apr 27/b,66.16,2.30%,19344176
113,114,BN,54.79B,0.83%,0.20%,1.60%,2.00%,-,-,5.55,5.58,15.40%,3.90%,0.70%,May 11/b,33.54,0.27%,2642681
114,115,BNS,60.11B,6.22%,0.60%,12.20%,18.20%,-,-,0.13,0.13,-,34.10%,17.30%,May 24/b,50.16,-0.59%,1147773
115,116,BNTX,27.23B,-,28.00%,33.00%,45.00%,13.00,12.70,0.01,0.01,85.30%,70.00%,51.10%,May 08/b,112.55,-0.40%,663599
116,117,BP,102.73B,4.49%,9.10%,39.50%,-0.40%,1.20,0.90,0.73,0.80,30.30%,18.00%,10.50%,May 02/b,35.35,-0.08%,6858310
117,118,BR,18.84B,1.80%,6.80%,29.20%,11.00%,1.30,1.30,2.04,2.04,28.30%,13.90%,9.30%,May 02/b,160.8,0.69%,1159028
118,119,BRK-A,745.30B,-,0.80%,1.50%,7.40%,-,-,0.24,0.25,21.00%,11.50%,2.30%,-,514000.0,-0.46%,6534
119,120,BRK-B,739.57B,-,-,-,-,-,-,-,-,-,-,-,May 08/b,338.31,-0.44%,8461113
120,121,BRKR,11.05B,0.26%,8.80%,29.70%,13.60%,2.00,1.20,0.94,1.04,51.90%,17.20%,11.90%,May 04/b,75.48,0.19%,1553683
121,122,BRO,18.73B,0.69%,5.10%,15.00%,9.50%,1.10,1.10,0.76,0.81,-,28.10%,17.80%,Apr 24/a,66.25,0.30%,1946063
122,123,BSBR,23.84B,5.35%,1.40%,12.30%,7.40%,-,-,1.24,1.24,-,15.50%,11.20%,-,6.39,-0.16%,989826
123,124,BSX,77.61B,-,2.60%,4.80%,3.80%,1.40,0.90,0.48,0.50,69.20%,13.30%,6.50%,Apr 26/b,54.32,0.63%,13015827
124,125,BSY,15.85B,0.38%,5.20%,29.70%,8.00%,0.60,0.60,2.72,2.73,78.20%,19.10%,14.40%,May 09/b,53.29,-1.35%,1724131
125,126,BTI,73.01B,8.32%,4.60%,9.60%,6.80%,0.90,0.50,0.51,0.57,83.50%,38.10%,24.10%,-,32.82,-0.15%,4818460
126,127,BTO,46.60B,0.76%,7.10%,8.70%,8.40%,4.00,2.70,0.01,0.02,36.80%,30.40%,14.00%,Apr 11/a,27.86,1.90%,143247
127,128,BUD,99.87B,1.41%,3.50%,10.60%,8.40%,0.70,0.50,1.07,1.09,54.30%,25.70%,12.80%,May 04/b,58.21,-0.61%,3547631
128,129,BWA,11.32B,1.40%,5.80%,13.60%,9.40%,1.60,1.20,0.56,0.57,19.30%,8.50%,6.00%,May 04/b,48.6,0.66%,4733941
129,130,BX,112.79B,4.28%,1.50%,8.00%,15.40%,-,-,1.74,1.74,-,17.30%,12.90%,Apr 20/b,91.13,-1.64%,5652892
130,131,C,94.53B,4.23%,0.60%,7.70%,8.90%,-,-,1.45,1.45,-,49.60%,15.40%,Jul 14/b,48.19,-0.76%,18204030
131,132,CAG,16.59B,3.81%,3.60%,9.20%,6.30%,1.00,0.30,0.91,1.04,26.20%,10.40%,6.60%,Jul 13/b,34.64,-0.43%,4595105
132,133,CAH,22.70B,2.19%,1.10%,-26.80%,-16.70%,1.00,0.50,-,-,3.40%,0.30%,0.20%,May 04/b,91.25,2.34%,5132748
133,134,CARR,38.85B,1.58%,10.00%,34.00%,22.90%,1.70,1.20,1.07,1.09,26.40%,15.80%,12.00%,Apr 27/b,46.88,0.73%,9582853
134,135,CAT,127.64B,2.12%,8.70%,43.50%,11.00%,1.40,0.90,1.37,2.04,32.50%,14.20%,11.50%,Apr 27/b,245.27,-0.97%,5209376
135,136,CB,79.21B,1.76%,2.60%,10.30%,9.00%,-,-,0.28,0.28,-,16.10%,11.70%,Apr 25/a,194.94,1.92%,3376661
136,137,CBOE,14.58B,1.46%,4.00%,8.80%,5.60%,1.10,1.10,0.41,0.49,45.20%,12.50%,7.50%,May 05/b,137.36,-0.52%,1108959
137,138,CBRE,24.45B,-,5.50%,14.20%,12.60%,1.00,1.00,0.15,0.46,20.70%,3.80%,3.70%,Apr 27/b,77.81,-1.09%,3406437
138,139,CCEP,30.11B,3.73%,-,-,8.50%,0.90,0.70,1.42,1.60,36.00%,-,-,-,65.35,-0.41%,1962455
139,140,CCI,50.69B,5.46%,4.30%,22.10%,8.20%,0.50,0.50,2.98,3.09,70.40%,34.70%,23.80%,Apr 19/a,114.61,-1.95%,3981529
140,141,CCJ,13.70B,0.28%,2.10%,3.10%,0.60%,7.70,6.60,0.17,0.17,16.30%,5.80%,7.80%,Apr 28/b,31.76,0.38%,4296991
141,142,CCK,10.42B,1.08%,4.30%,33.70%,12.20%,1.30,0.70,3.47,3.61,17.60%,9.80%,4.80%,Apr 24/a,88.81,2.37%,20478600
142,143,CCL,20.03B,-,-9.40%,-65.50%,-10.60%,0.60,0.60,5.30,5.70,36.80%,-20.40%,-32.70%,Jun 26/b,15.8,-1.99%,50985481
143,144,CDAY,10.51B,-,-0.40%,-1.70%,-2.20%,1.10,1.10,0.55,0.56,40.10%,-0.80%,-2.70%,May 03/a,67.08,-1.06%,2256607
144,145,CDNS,64.84B,-,17.40%,31.10%,25.10%,1.40,1.30,0.22,0.23,89.20%,29.30%,23.20%,Apr 24/a,235.84,-0.81%,5005890
145,146,CDW,24.02B,1.32%,8.30%,78.10%,18.10%,1.30,1.20,3.66,3.69,20.40%,7.40%,4.80%,May 03/b,178.15,-0.03%,1527771
146,147,CE,12.71B,2.46%,6.90%,28.10%,9.20%,1.70,1.00,2.37,2.61,22.70%,11.00%,14.80%,May 09/a,114.0,-2.40%,2258082
147,148,CEG,30.32B,1.21%,-0.40%,-1.60%,5.30%,1.40,1.10,0.54,0.62,25.60%,0.30%,-0.60%,May 04/b,92.89,-0.61%,4961890
148,149,CELH,11.11B,-,-16.30%,-162.70%,-476.30%,5.20,4.40,0.00,0.00,42.40%,-15.80%,-21.90%,May 09/a,144.44,-0.21%,861068
149,150,CF,13.66B,2.24%,22.60%,61.90%,52.80%,4.50,4.00,0.54,0.00,48.70%,44.10%,29.30%,May 01/a,71.27,1.70%,5873223
150,151,CFG,13.40B,6.16%,0.90%,9.40%,17.10%,-,-,0.32,0.36,-,71.10%,24.90%,Apr 19/b,27.26,-1.55%,11758540
151,152,CFLT,10.21B,-,-21.20%,-63.60%,-25.30%,5.30,5.30,1.46,1.46,66.10%,-81.60%,-77.60%,May 03/a,34.69,0.58%,7960687
152,153,CG,11.45B,4.46%,3.50%,12.30%,9.20%,-,-,1.35,1.35,84.40%,27.70%,20.30%,May 04/b,31.38,-0.73%,3510520
153,154,CHD,23.41B,1.13%,5.00%,11.50%,7.90%,1.20,0.60,0.65,0.66,42.10%,11.10%,7.50%,Apr 27/b,96.16,0.33%,1825099
154,155,CHDN,10.21B,0.26%,10.20%,89.50%,3.00%,0.50,0.50,6.18,6.28,32.80%,25.30%,27.60%,Apr 26/a,136.39,-0.95%,642757
155,156,CHK,10.91B,9.65%,48.40%,89.00%,41.40%,1.40,1.40,0.20,0.20,86.80%,46.20%,50.80%,May 02/a,82.36,1.02%,1056924
156,157,CHKP,15.75B,-,14.50%,27.70%,25.70%,1.20,1.20,0.00,0.00,87.20%,37.60%,34.50%,May 01/b,130.91,0.35%,1587270
157,158,CHRW,11.11B,2.58%,12.20%,48.60%,30.30%,1.10,1.10,0.67,1.41,15.00%,4.80%,3.50%,Apr 26/a,94.62,-0.78%,1840603
158,159,CHT,31.75B,3.74%,-,-,-,-,-,-,-,-,-,-,May 09/b,40.88,-0.29%,138395
159,160,CHTR,51.63B,-,3.40%,52.30%,9.70%,0.30,0.30,10.19,10.40,45.30%,22.30%,8.90%,Apr 28/b,341.24,-0.47%,1720985
160,161,CHWY,17.32B,-,2.10%,27.20%,24.80%,0.90,0.50,0.00,0.00,28.30%,0.60%,0.50%,May 31/a,39.64,-2.17%,3982761
161,162,CI,79.73B,1.83%,4.60%,15.00%,10.50%,-,-,0.65,0.73,-,5.30%,3.70%,May 05/b,268.83,-0.24%,2894785
162,163,CINF,15.78B,2.97%,0.00%,0.10%,-3.80%,-,-,0.08,0.08,-,-0.10%,0.20%,Apr 27/a,100.9,0.50%,2512223
163,164,CL,63.71B,2.47%,10.00%,539.40%,23.80%,1.20,0.80,-,-,56.60%,14.60%,8.70%,Apr 28/b,77.78,1.28%,7364899
