,No.,Ticker,Market Cap,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Price,Change,Volume
325,326,GLW,28.77B,3.12%,3.10%,7.80%,5.40%,1.40,0.80,0.56,0.57,30.90%,8.50%,6.70%,Apr 25/b,35.85,5.94%,21244427
326,327,GM,52.87B,0.95%,3.60%,13.90%,4.30%,1.10,0.90,1.11,1.64,13.90%,6.20%,5.80%,Apr 25/b,37.96,-0.18%,14509190
327,328,GMAB,25.20B,-,17.80%,20.00%,17.30%,14.40,14.40,0.03,0.03,-,41.00%,34.50%,May 10/b,38.77,0.05%,600709
328,329,GOLD,28.95B,2.39%,0.20%,0.50%,4.70%,2.70,2.10,0.21,0.21,28.70%,13.30%,1.10%,May 03/b,16.71,1.33%,21130784
329,330,GOOG,1571.57B,-,-,-,-,-,-,-,-,-,-,-,Apr 25/a,124.06,-1.38%,56622622
330,331,GOOGL,1592.38B,-,16.20%,22.80%,23.40%,2.40,2.30,0.05,0.05,55.50%,25.40%,20.60%,Apr 25/a,123.53,-1.25%,44465949
331,332,GPC,22.71B,2.35%,7.50%,33.00%,17.20%,1.20,0.60,0.79,0.86,35.10%,7.50%,5.50%,Apr 20/b,161.47,-0.11%,1381324
332,333,GPN,26.71B,0.99%,-0.30%,-0.60%,1.30%,0.90,0.90,0.75,0.82,58.60%,3.50%,-1.60%,May 01/b,100.68,-1.25%,3751644
333,334,GRAB,13.37B,-,-15.80%,-22.20%,-17.30%,5.40,5.30,0.10,0.12,18.00%,-65.50%,-86.90%,May 18/b,3.42,-0.58%,23693368
334,335,GRMN,20.31B,2.75%,12.50%,15.80%,15.10%,3.90,2.50,0.00,0.00,57.90%,20.60%,19.90%,May 03/b,106.0,-0.14%,1380234
335,336,GS,112.94B,2.96%,0.70%,9.30%,1.20%,-,-,2.32,8.83,51.60%,16.10%,12.60%,Apr 18/b,338.31,-0.42%,4481390
336,337,GSK,71.28B,3.97%,21.80%,122.20%,18.10%,1.00,0.70,1.41,1.77,70.40%,21.40%,50.30%,Apr 26/b,35.15,-0.34%,5945434
337,338,GWW,37.32B,1.02%,22.50%,68.90%,35.30%,2.70,1.50,0.83,0.85,38.90%,15.10%,10.60%,Apr 27/b,732.43,-1.54%,419238
338,339,H,11.92B,0.53%,4.70%,16.20%,5.80%,0.60,0.60,0.66,0.84,55.10%,5.60%,9.30%,May 04/b,113.17,0.40%,694206
339,340,HAL,29.51B,1.96%,8.50%,25.20%,13.40%,2.10,1.50,0.94,0.00,17.30%,14.60%,9.00%,Apr 25/b,32.58,-0.40%,10388206
340,341,HBAN,15.72B,5.68%,1.20%,14.50%,17.80%,-,-,0.58,0.58,-,76.30%,33.30%,Apr 20/b,10.92,0.28%,25608002
341,342,HBANL,15.76B,9.91%,-,-,-,-,-,-,-,-,-,-,-,24.86,0.12%,22085
342,343,HBANP,15.76B,6.00%,-,-,-,-,-,-,-,-,-,-,-,18.74,-1.11%,40466
343,344,HCA,78.65B,0.83%,11.00%,-186.30%,20.50%,1.20,1.00,-,-,84.40%,15.10%,9.40%,Apr 21/b,290.08,1.47%,2962332
344,345,HD,303.65B,2.78%,21.90%,-,41.70%,1.30,0.30,113.02,116.72,33.50%,15.20%,10.80%,-,300.38,-0.54%,10795560
345,346,HDB,107.90B,1.05%,2.10%,17.10%,12.10%,-,-,0.62,0.62,-,46.60%,29.00%,-,66.45,2.86%,2832053
346,347,HEI,20.02B,0.12%,8.60%,14.30%,13.70%,2.90,1.40,0.26,0.27,39.10%,22.60%,15.20%,May 22/a,165.89,-0.23%,278943
347,348,HEI-A,19.98B,0.15%,-,-,-,-,-,-,-,-,-,-,-,132.54,-0.15%,361767
348,349,HES,41.70B,1.29%,9.40%,26.40%,16.50%,1.60,1.50,1.05,1.05,69.40%,32.50%,17.70%,Apr 26/b,135.56,-0.18%,2568214
349,350,HIG,22.05B,2.37%,2.60%,14.00%,11.50%,-,-,0.31,0.00,-,11.20%,8.20%,Apr 27/a,71.88,1.15%,2607683
350,351,HLN,37.54B,1.43%,-,-,4.20%,0.90,0.60,0.61,0.64,60.80%,64.70%,19.10%,-,8.42,0.96%,2096395
351,352,HLT,37.22B,0.43%,8.10%,-118.30%,21.20%,0.80,0.80,-,-,41.70%,23.80%,13.40%,Apr 26/b,140.81,0.10%,2668234
352,353,HMC,58.33B,2.78%,2.80%,6.20%,3.50%,1.40,1.10,0.39,0.68,19.70%,5.00%,4.10%,May 11/b,31.32,-2.13%,2601854
353,354,HOLX,19.95B,-,8.10%,14.90%,17.50%,4.40,3.70,0.53,0.54,56.30%,23.20%,18.60%,May 01/a,81.2,0.20%,4133676
354,355,HON,135.57B,2.03%,8.50%,30.40%,13.70%,1.30,0.90,0.87,1.13,34.20%,18.50%,14.50%,Apr 27/b,202.97,-0.37%,5002796
355,356,HPE,22.54B,2.73%,1.80%,5.10%,2.20%,0.90,0.70,0.41,0.66,34.30%,4.00%,3.50%,May 30/a,17.57,0.69%,24479472
356,357,HPQ,30.66B,3.39%,7.10%,-93.30%,42.50%,0.70,0.40,-,-,20.20%,6.30%,4.80%,May 30/a,31.0,-0.32%,13959223
357,358,HRL,22.56B,2.67%,7.00%,12.40%,9.60%,2.40,1.10,0.43,0.43,16.80%,10.10%,7.60%,Jun 01/b,41.27,-0.07%,3332910
358,359,HSBC,154.91B,5.36%,0.60%,10.80%,11.90%,-,-,0.45,0.45,-,55.10%,32.60%,May 02/b,39.18,0.33%,1701440
359,360,HST,12.17B,3.52%,6.60%,11.80%,6.90%,-,-,0.61,0.61,-,17.30%,15.40%,May 03/a,17.05,-0.35%,9087653
360,361,HSY,53.32B,1.59%,15.60%,53.40%,22.30%,0.80,0.50,0.97,1.36,43.20%,20.10%,15.80%,Apr 27/b,260.72,-0.05%,1576480
361,362,HTHT,14.70B,0.49%,-0.30%,-2.10%,-2.80%,0.90,0.90,0.77,1.02,59.20%,6.80%,-1.30%,May 29/b,43.0,-2.89%,1796423
362,363,HUBB,17.20B,1.40%,10.20%,23.20%,14.80%,2.00,1.30,0.58,0.58,31.60%,15.90%,10.80%,Apr 25/b,320.38,-0.20%,828246
363,364,HUBS,25.82B,-,-5.80%,-14.80%,-8.50%,2.20,2.20,0.43,0.00,82.40%,-7.80%,-7.70%,May 03/a,519.32,-0.13%,720542
364,365,HUM,57.96B,0.79%,6.40%,19.60%,12.20%,-,-,0.59,0.72,-,4.70%,3.30%,Apr 26/b,445.65,-3.92%,5292762
365,366,HWM,19.03B,0.35%,4.80%,14.00%,9.30%,2.20,1.00,1.08,0.00,27.30%,15.20%,8.10%,May 02/b,45.98,-0.13%,2976300
366,367,HZNP,23.16B,-,4.10%,7.40%,8.00%,4.10,3.90,0.50,0.50,74.40%,12.80%,10.40%,May 03/b,101.63,0.32%,2796558
367,368,IBKR,34.23B,0.50%,0.40%,16.50%,15.60%,-,-,0.00,3.58,60.70%,45.90%,8.80%,Apr 18/a,80.28,-0.82%,962595
368,369,IBM,125.67B,4.83%,1.40%,8.80%,2.50%,1.20,1.10,2.49,2.72,54.20%,2.60%,3.00%,Apr 19/a,137.48,-0.66%,7468309
369,370,IBN,79.13B,0.55%,1.60%,15.40%,11.50%,-,-,0.94,0.94,-,41.70%,24.50%,-,22.87,0.00%,6173247
370,371,ICE,62.92B,1.50%,0.70%,6.30%,8.10%,1.10,1.10,0.78,0.78,75.50%,37.50%,15.00%,May 04/b,111.68,-0.62%,3803685
371,372,ICLR,19.14B,-,3.00%,6.10%,5.60%,1.20,1.20,0.50,0.52,29.20%,10.80%,6.50%,Apr 26/a,234.12,0.21%,551071
372,373,IDXX,39.96B,-,25.90%,117.40%,36.70%,1.10,0.70,0.83,1.43,59.70%,27.10%,20.40%,May 02/b,483.03,0.33%,706647
373,374,IEP,10.57B,28.63%,-2.80%,-16.90%,2.70%,-,-,1.84,1.84,7.90%,-7.20%,-6.10%,May 10/b,27.94,-2.38%,3081634
374,375,IEX,15.90B,1.22%,11.20%,19.80%,13.80%,3.10,2.10,0.46,0.00,44.80%,24.10%,17.90%,Apr 26/a,209.75,-0.31%,872664
375,376,IFF,20.28B,4.03%,-5.90%,-11.70%,-5.50%,1.50,0.90,0.52,0.64,32.40%,-12.50%,-17.30%,May 08/a,80.35,1.07%,5049504
376,377,IHG,12.08B,1.82%,8.30%,-24.70%,38.40%,1.10,1.10,-,-,28.40%,16.10%,9.60%,-,71.23,-0.45%,90758
377,378,ILMN,33.19B,-,-35.40%,-58.90%,-45.50%,1.40,1.20,0.22,0.33,63.20%,-99.60%,-,Apr 25/a,205.87,-1.94%,2441990
378,379,IMO,29.25B,-,-,-,-,1.40,1.10,0.17,0.18,-,-,-,Apr 28/b,49.73,-0.66%,424380
379,380,INCY,13.96B,-,5.80%,7.60%,8.90%,3.90,3.90,0.01,0.01,94.20%,14.10%,9.30%,May 02/b,63.23,1.04%,8439018
380,381,INFY,64.97B,2.62%,19.30%,31.80%,25.90%,1.80,1.80,0.09,0.11,30.30%,21.10%,16.40%,Apr 13/b,15.83,1.34%,18245147
381,382,ING,47.91B,6.96%,0.50%,9.10%,6.20%,-,-,2.42,0.0,-,44.70%,16.00%,-,13.4,0.30%,2432514
382,383,INTC,149.41B,1.37%,-,-,2.50%,1.80,1.30,0.5,0.51,38.30%,-,-,Apr 27/a,36.37,1.54%,110103134
383,384,INTU,127.80B,0.69%,8.10%,13.60%,9.00%,1.50,1.50,0.35,0.38,78.50%,21.70%,15.90%,May 23/a,455.03,-0.28%,2618104
384,385,INVH,21.01B,3.02%,2.20%,4.00%,3.40%,-,-,0.76,0.76,60.70%,28.00%,17.90%,May 01/a,34.4,0.17%,4749352
385,386,IOT,15.35B,-,-15.50%,-26.00%,-28.00%,2.20,2.10,0.0,0.0,71.90%,-37.10%,-34.20%,Jun 01/a,28.9,-0.52%,8777117
386,387,IP,11.04B,5.78%,5.40%,14.90%,13.00%,1.60,1.10,0.65,0.7,28.60%,7.40%,6.30%,Apr 27/b,31.98,0.53%,7097952
387,388,IPG,15.67B,3.10%,5.20%,25.80%,16.00%,1.00,1.00,0.81,0.81,16.30%,12.10%,8.30%,Apr 27/b,40.04,-1.36%,6230899
388,389,IQV,40.22B,-,4.20%,18.80%,8.20%,0.80,0.80,1.99,2.22,34.80%,12.20%,7.30%,Apr 27/b,216.02,-0.35%,1181617
389,390,IR,26.18B,0.12%,4.50%,7.30%,5.60%,2.20,1.50,0.29,0.29,39.70%,14.50%,10.70%,May 03/a,64.52,-0.29%,4460532
390,391,IRM,16.67B,4.36%,3.60%,98.30%,8.70%,0.80,0.80,19.91,20.1,68.50%,20.70%,11.20%,May 04/b,56.76,-0.70%,2379242
391,392,ISRG,115.03B,-,9.90%,11.50%,11.90%,5.30,4.50,0.0,0.0,66.90%,24.20%,20.40%,Apr 18/a,329.36,0.33%,3109805
392,393,IT,28.15B,-,13.40%,755.60%,32.70%,0.80,0.80,5.19,5.2,68.80%,23.00%,16.60%,May 02/b,356.54,0.10%,1345885
393,394,ITUB,53.98B,4.17%,1.30%,18.40%,1.90%,-,-,1.61,4.28,-,15.60%,14.50%,May 08/a,5.9,0.00%,18295547
394,395,ITW,75.00B,2.11%,19.80%,98.10%,29.20%,1.20,0.80,1.78,2.7,41.20%,24.20%,19.30%,May 02/b,247.99,0.48%,2186397
395,396,IX,22.30B,3.46%,1.80%,8.20%,2.50%,-,-,1.55,1.7,38.50%,11.80%,10.20%,Apr 27/b,89.33,-1.36%,109609
396,397,J,14.74B,0.89%,5.20%,12.60%,8.00%,1.50,1.50,0.53,0.54,21.60%,7.10%,5.00%,May 09/b,116.57,0.29%,1273237
397,398,JBHT,18.34B,0.95%,12.20%,25.90%,20.70%,1.20,-,0.26,0.33,18.10%,8.80%,6.30%,Apr 17/a,176.68,-0.14%,986858
398,399,JBL,13.88B,0.30%,5.00%,39.10%,20.40%,1.00,0.50,0.96,1.08,8.00%,4.00%,2.80%,Jun 15/b,105.36,0.69%,2298166
399,400,JCI,45.04B,2.26%,3.30%,8.70%,7.70%,1.00,0.80,0.49,0.66,33.80%,6.70%,5.30%,May 05/b,65.47,-0.27%,3935136
400,401,JD,62.61B,1.56%,3.40%,9.40%,3.90%,1.40,1.10,0.14,0.21,14.30%,2.30%,1.90%,May 11/b,39.85,-0.28%,11044925
401,402,JHX,11.94B,2.54%,11.90%,34.30%,19.80%,1.50,1.00,0.66,0.66,34.70%,19.60%,13.60%,May 15/a,27.51,-0.72%,33427
402,403,JKHY,12.05B,1.27%,13.70%,23.70%,24.40%,1.50,1.50,0.24,0.24,40.90%,22.70%,17.20%,May 02/a,163.54,-1.11%,732858
403,404,JNJ,425.49B,2.90%,6.90%,17.00%,15.40%,1.10,0.90,0.49,0.75,67.00%,15.70%,13.20%,Apr 18/b,164.23,0.31%,13397390
404,405,JNPR,10.43B,2.71%,5.50%,11.40%,8.30%,1.80,1.40,0.36,0.36,56.00%,11.30%,9.10%,Apr 25/a,32.47,0.09%,6112114
405,406,JPM,418.15B,2.79%,1.10%,15.30%,6.50%,-,-,1.03,1.03,-,58.00%,35.20%,Jul 14/b,143.26,0.12%,13797886
406,407,K,22.60B,3.56%,4.50%,20.40%,13.20%,0.70,0.40,1.42,1.68,29.70%,9.90%,5.30%,May 04/b,66.29,0.53%,3914303
407,408,KB,15.27B,2.89%,0.60%,8.50%,5.40%,-,-,2.28,2.28,-,45.00%,18.50%,-,37.97,-0.94%,196184
408,409,KDP,44.58B,2.49%,2.60%,5.20%,5.50%,0.40,0.20,0.42,0.52,51.80%,14.30%,9.20%,Apr 27/b,32.17,1.29%,15542447
409,410,KEYS,29.50B,-,14.30%,27.50%,19.70%,3.40,2.70,0.38,0.38,64.00%,25.30%,21.10%,May 16/a,164.86,-0.33%,1926856
410,411,KHC,45.25B,4.33%,2.70%,5.00%,4.50%,0.90,0.50,0.39,0.41,31.00%,14.10%,9.00%,May 03/b,36.99,0.33%,12246357
411,412,KIM,12.01B,4.73%,0.80%,1.60%,2.90%,-,-,0.74,0.74,69.00%,31.20%,8.70%,Apr 27/b,19.45,0.36%,4544902
412,413,KKR,50.58B,1.15%,-0.20%,-2.90%,-1.70%,-,-,2.41,2.41,40.50%,-2.80%,-5.80%,May 08/b,57.2,-2.41%,4647441
413,414,KLAC,64.84B,1.12%,26.40%,159.60%,43.30%,2.30,1.50,2.2,0.0,61.90%,38.90%,33.00%,Apr 26/a,464.89,-1.63%,2010679
414,415,KMB,45.99B,3.43%,11.00%,344.40%,23.70%,0.80,0.50,11.34,12.09,31.70%,13.70%,9.80%,Apr 25/b,137.68,1.00%,2592967
415,416,KMI,38.12B,6.63%,3.70%,8.30%,5.40%,0.60,0.40,0.95,1.02,40.00%,22.50%,13.50%,Apr 19/a,17.04,0.18%,24016493
416,417,KMX,12.79B,-,1.80%,8.80%,2.00%,2.60,0.70,3.2,3.3,9.40%,2.10%,1.60%,Jun 23/b,79.63,-1.51%,2313502
417,418,KO,264.79B,2.98%,10.50%,41.50%,14.00%,1.20,0.90,1.43,1.68,58.10%,26.10%,22.70%,Apr 24/b,61.67,0.72%,26713400
418,419,KOF,18.56B,3.42%,-,-,11.50%,1.10,0.90,0.61,0.68,44.30%,-,-,-,88.14,-0.23%,85541
419,420,KR,32.97B,2.25%,4.70%,23.90%,14.80%,0.70,0.30,1.2,1.33,21.50%,2.90%,1.60%,Jun 15/b,46.17,0.50%,10573424
420,421,KVUE,49.31B,-,-,-,10.60%,1.50,1.00,0.38,0.38,-,-,-,-,26.25,1.94%,2332994
421,422,L,13.41B,0.43%,1.40%,7.20%,6.20%,-,-,0.56,0.63,-,12.00%,7.30%,May 01/b,58.57,-0.46%,2987355
422,423,LBRDA,11.25B,-,6.70%,11.90%,-1.60%,1.50,1.50,0.46,0.46,-,11.70%,-,May 02/a,76.27,-0.65%,93636
423,424,LBRDK,11.19B,-,-,-,-,-,-,-,-,-,-,-,May 02/a,76.6,-0.53%,974997
424,425,LCID,13.23B,-,-44.70%,-87.30%,-40.30%,4.10,3.10,0.57,0.58,-,-,-,May 08/a,6.48,-1.67%,44962025
425,426,LDOS,11.69B,1.68%,5.20%,16.00%,9.70%,1.20,1.10,1.06,1.14,14.20%,7.40%,4.60%,May 02/b,85.89,0.76%,2760421
426,427,LECO,11.29B,1.31%,15.80%,46.80%,22.20%,1.90,1.10,0.99,1.03,33.80%,15.90%,12.10%,Apr 27/b,195.93,-0.08%,666014
427,428,LEGN,12.15B,-,-,-,-44.60%,3.80,3.80,0.47,0.48,2.30%,-,-,-,70.07,-1.66%,897357
428,429,LEN,38.39B,1.25%,12.70%,19.60%,15.30%,-,-,0.17,0.21,22.30%,17.90%,13.50%,Jun 14/a,120.02,0.18%,4573885
429,430,LEN-B,38.50B,1.42%,-,-,-,-,-,-,-,-,-,-,Mar 15/a,105.72,1.39%,161741
430,431,LH,20.43B,1.23%,5.00%,9.80%,9.50%,1.60,1.50,0.50,0.53,28.00%,9.70%,6.80%,Apr 25/b,234.27,1.61%,1053862
431,432,LHX,36.64B,2.33%,2.70%,5.00%,3.60%,1.10,0.90,0.45,0.49,27.80%,5.90%,5.30%,Apr 27/a,195.57,1.13%,1772134
432,433,LI,35.80B,-,-1.30%,-2.40%,-6.00%,2.20,2.00,0.18,0.38,19.20%,-5.20%,-2.00%,May 10/b,34.41,-0.15%,7234383
433,434,LII,10.96B,1.41%,19.30%,-197.60%,86.40%,1.10,0.50,-,-,27.80%,14.40%,10.80%,Apr 27/b,311.04,0.74%,379364
434,435,LIN,184.30B,1.36%,5.80%,11.40%,6.80%,0.70,0.60,0.29,0.47,42.80%,17.50%,13.50%,Apr 27/b,375.29,-0.31%,4364364
435,436,LKQ,14.57B,2.03%,9.50%,20.80%,14.70%,1.90,0.80,0.47,0.48,40.90%,12.30%,9.00%,Apr 27/b,54.23,-0.53%,2631234
436,437,LLY,430.90B,1.01%,11.50%,56.20%,24.40%,1.30,1.00,1.69,1.69,77.70%,22.50%,20.50%,Apr 27/b,447.71,-1.37%,4283691
437,438,LMT,116.05B,2.61%,10.80%,53.80%,23.80%,1.30,1.10,1.61,1.62,12.90%,10.50%,8.60%,Apr 18/b,459.17,0.71%,1641733
438,439,LNG,35.76B,1.06%,18.60%,-286.00%,18.00%,1.40,1.30,12.84,12.88,42.30%,39.50%,23.20%,May 02/b,148.68,1.02%,1987540
439,440,LNT,13.51B,3.37%,3.30%,10.50%,6.00%,0.60,0.50,1.29,1.43,90.50%,21.40%,15.60%,May 04/a,53.74,-0.02%,2353284
440,441,LOW,128.29B,2.03%,13.80%,-50.50%,38.40%,1.20,0.20,-,-,33.10%,10.60%,6.60%,May 23/b,217.08,-0.85%,6855455
441,442,LPLA,16.62B,0.57%,11.60%,51.20%,19.50%,-,-,1.35,0.00,99.00%,17.00%,11.70%,May 17/a,208.98,-2.33%,918708
442,443,LRCX,83.42B,1.13%,26.40%,64.70%,42.50%,3.10,2.00,0.59,0.60,45.00%,30.80%,26.10%,Apr 19/a,612.65,-1.34%,2678036
443,444,LSCC,12.34B,-,26.00%,42.30%,29.90%,3.60,2.40,0.20,0.00,69.10%,30.10%,28.60%,May 01/a,88.66,-1.10%,2997244
444,445,LSI,11.08B,3.70%,5.10%,10.20%,6.70%,-,-,0.95,0.95,73.40%,44.90%,34.00%,May 02/a,129.78,-0.34%,805307
445,446,LSXMA,30.69B,-,3.90%,13.70%,6.60%,0.40,0.40,1.38,1.45,53.50%,20.20%,13.20%,May 05/b,30.9,0.10%,772486
446,447,LSXMK,30.28B,-,-,-,-,-,-,-,-,-,-,-,May 05/b,30.91,0.39%,1140794
447,448,LULU,46.66B,-,17.80%,30.90%,27.00%,2.40,1.20,0.00,0.00,56.20%,17.30%,11.20%,Jun 01/a,383.02,0.10%,1802691
448,449,LUV,20.21B,2.10%,1.80%,6.10%,3.40%,1.30,1.20,0.78,0.78,67.40%,3.10%,2.70%,Apr 27/b,34.25,0.82%,8737060
449,450,LVS,44.83B,-,-2.50%,-13.80%,-4.80%,1.80,1.80,3.44,3.94,44.40%,-2.10%,-10.40%,Apr 19/a,58.45,-0.36%,4881882
450,451,LW,16.72B,0.98%,11.90%,100.50%,10.30%,2.60,1.60,4.43,4.50,27.20%,17.30%,11.30%,Apr 06/b,114.34,-0.35%,1529063
451,452,LYB,29.85B,5.42%,8.30%,24.40%,17.60%,1.80,1.10,0.83,0.89,12.50%,8.70%,6.40%,Apr 28/b,92.24,0.51%,4144097
452,453,LYG,37.49B,5.15%,-,-,8.30%,-,-,0.00,0.00,-,-,-,-,2.27,-0.87%,8564546
453,454,LYV,20.77B,-,-,-,11.50%,1.10,1.10,-,-,25.70%,-,-,May 04/a,90.18,-0.18%,3106510
454,455,MA,359.19B,0.61%,25.50%,159.90%,51.50%,1.20,1.20,2.87,2.92,-,54.60%,42.30%,Apr 27/b,376.53,-0.66%,5886891
455,456,MAA,17.99B,3.61%,5.80%,10.90%,6.30%,-,-,0.71,0.71,61.20%,32.60%,31.80%,Apr 26/a,155.29,0.73%,1196027
456,457,MANH,12.02B,-,25.80%,67.30%,54.50%,1.20,1.20,0.00,0.00,53.20%,20.50%,17.00%,Apr 25/a,191.81,-0.99%,711363
457,458,MAR,53.84B,1.18%,11.10%,309.10%,25.50%,0.50,0.50,73.56,76.12,22.20%,17.40%,12.30%,May 02/b,176.36,-0.18%,4717893
458,459,MAS,12.61B,2.05%,15.20%,-147.20%,38.60%,1.60,1.00,-,-,31.70%,15.20%,9.60%,Apr 26/b,55.5,-0.93%,3486825
459,460,MBLY,32.01B,-,-0.60%,-0.80%,-0.60%,4.00,3.50,0.00,0.00,49.30%,-3.70%,-5.20%,Apr 27/b,39.16,-1.43%,3679880
460,461,MCD,213.63B,2.07%,13.70%,-111.30%,24.00%,1.50,1.50,-,-,57.50%,38.70%,29.40%,Apr 25/b,293.7,0.37%,4885811
461,462,MCHP,46.56B,1.79%,13.80%,35.90%,18.80%,1.00,0.60,0.77,0.99,67.50%,36.80%,26.50%,May 04/a,85.49,0.14%,9202383
462,463,MCK,54.22B,0.53%,5.70%,-176.20%,93.00%,0.90,0.50,-,-,4.50%,1.60%,1.30%,May 08/a,406.2,1.53%,1488747
463,464,MCO,63.92B,0.90%,9.60%,55.30%,16.30%,1.50,1.50,2.41,2.58,70.00%,34.20%,25.40%,Apr 25/b,341.85,-1.85%,1242615
464,465,MDB,27.20B,-,-12.80%,-44.70%,-18.60%,4.20,4.20,1.49,1.50,73.00%,-24.80%,-23.60%,Jun 01/a,379.9,-1.43%,1613136
465,466,MDLZ,100.04B,2.09%,5.70%,14.40%,5.10%,0.70,0.50,0.66,0.79,35.80%,12.00%,12.00%,Apr 27/a,73.57,0.15%,10878563
466,467,MDT,117.44B,3.10%,4.40%,7.80%,6.90%,1.80,1.40,0.43,0.55,66.70%,18.00%,13.20%,May 25/b,89.15,1.02%,9043743
467,468,MELI,61.45B,-,4.80%,34.90%,10.40%,1.30,1.30,1.23,2.37,49.70%,10.90%,5.50%,May 03/a,1194.74,-2.37%,779212
468,469,MET,42.24B,3.75%,0.30%,5.70%,7.30%,-,-,0.55,0.56,-,4.80%,2.50%,May 03/a,55.5,0.62%,10275175
469,470,META,722.25B,-,11.90%,17.10%,18.20%,2.10,2.10,0.08,0.09,78.30%,23.60%,18.30%,Apr 26/a,281.0,-0.29%,43001938
470,471,MFC,35.64B,5.69%,0.70%,12.40%,16.30%,-,-,0.33,0.33,-,-,19.80%,May 10/a,18.99,-1.61%,4603642
471,472,MFG,38.60B,4.13%,-0.30%,-8.80%,4.70%,-,-,1.56,1.56,-,47.90%,-39.80%,-,2.98,-0.67%,325976
472,473,MGA,16.24B,3.23%,1.60%,4.00%,4.40%,1.30,0.90,0.41,0.47,12.00%,1.90%,1.10%,May 05/b,56.99,0.41%,915195
473,474,MGM,15.91B,0.02%,4.20%,38.30%,5.40%,2.20,2.10,1.43,1.45,49.20%,14.60%,13.70%,May 01/a,42.64,-2.47%,7900910
474,475,MKC,24.67B,1.68%,5.10%,14.20%,7.60%,0.70,0.30,0.74,1.07,35.60%,14.20%,10.40%,Jun 29/b,92.65,0.73%,1712860
475,476,MKL,17.86B,-,0.60%,2.20%,-0.30%,-,-,0.30,0.30,-,5.50%,2.10%,Apr 26/a,1343.69,0.39%,53665
476,477,MKTX,10.56B,1.04%,16.30%,24.50%,22.10%,-,-,0.00,0.00,92.40%,45.40%,35.20%,Apr 26/b,277.15,-1.09%,1206502
477,478,MLM,26.61B,0.62%,6.50%,13.80%,7.80%,2.10,1.40,0.61,0.70,25.00%,21.40%,15.40%,May 04/b,426.54,-0.68%,614593
478,479,MMC,89.31B,1.30%,9.60%,30.80%,14.90%,1.20,1.20,0.99,1.18,-,21.60%,15.20%,Apr 20/b,181.15,0.34%,2850674
479,480,MMM,57.27B,5.74%,11.80%,37.70%,19.30%,1.40,0.90,0.85,1.04,43.20%,18.40%,16.30%,Apr 25/b,104.54,0.70%,6192663
480,481,MMP,12.16B,6.97%,14.80%,66.60%,16.50%,1.00,0.40,2.96,2.96,47.00%,35.90%,33.70%,May 04/b,60.1,-0.13%,4657114
481,482,MNST,61.55B,-,15.50%,18.50%,17.10%,4.50,3.70,0.00,0.00,50.80%,25.70%,19.90%,May 04/a,58.45,-0.60%,7688721
482,483,MO,78.81B,8.53%,15.40%,-154.10%,45.30%,0.80,0.60,-,-,57.00%,47.30%,22.40%,Apr 27/b,44.07,-0.18%,13649728
483,484,MOH,16.54B,-,6.70%,28.20%,16.80%,1.50,1.50,0.72,0.72,15.10%,3.90%,2.60%,Apr 26/a,278.02,-2.04%,763075
484,485,MOS,11.72B,2.23%,12.10%,24.00%,22.70%,1.10,0.50,0.20,0.36,26.50%,21.70%,15.10%,May 03/a,35.82,1.53%,12257793
485,486,MPC,48.30B,2.65%,18.00%,61.20%,31.20%,1.90,1.30,1.01,1.02,16.90%,13.60%,9.30%,May 02/b,113.29,-0.47%,10768231
486,487,MPLX,33.94B,9.10%,11.00%,33.70%,15.10%,1.50,1.40,1.80,1.80,55.40%,45.00%,35.10%,May 02/b,34.07,0.50%,4238976
