,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
0,1,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,35.81B,26.67,121.13,-0.08%,3939930
1,2,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,10.87B,6.24,16.48,-1.02%,22625167
2,3,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2925.70B,31.42,184.92,-0.59%,95747006
3,4,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,239.75B,32.71,138.64,2.02%,14593437
4,5,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,36.83B,23.51,183.01,0.62%,2000327
5,6,ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,49.75B,16.01,3.09,-1.28%,20356797
6,7,ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,USA,81.75B,42.88,128.68,0.65%,6883826
7,8,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,182.62B,32.19,106.2,1.12%,10012623
8,9,ACGL,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,26.13B,13.71,71.16,1.44%,3296161
9,10,ACGLN,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,26.50B,4.18,19.63,-0.10%,28769
10,11,ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,USA,12.19B,9.49,21.37,0.61%,13976210
11,12,ACM,AECOM,Industrials,Engineering & Construction,USA,12.00B,28.58,86.67,0.42%,2080228
12,13,ACN,Accenture plc,Technology,Information Technology Services,Ireland,204.47B,29.41,319.54,-1.31%,5259178
13,14,ADBE,Adobe Inc.,Technology,Software - Infrastructure,USA,225.18B,47.28,495.18,0.87%,13324076
14,15,ADI,"Analog Devices, Inc.",Technology,Semiconductors,USA,95.10B,26.69,188.36,-0.69%,6886920
15,16,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,40.61B,9.47,75.48,1.23%,5522403
16,17,ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,USA,91.29B,28.27,221.32,0.16%,3335514
17,18,ADSK,"Autodesk, Inc.",Technology,Software - Application,USA,47.32B,55.38,213.5,-3.58%,3287110
18,19,AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,USA,22.05B,20.16,84.08,0.13%,2812984
19,20,AEG,Aegon N.V.,Financial,Insurance - Diversified,Netherlands,10.29B,-,4.79,-2.44%,1361677
20,21,AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,Canada,24.80B,10.02,51.0,1.15%,3136496
21,22,AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,USA,43.70B,21.99,84.93,0.06%,5314597
22,23,AER,AerCap Holdings N.V.,Industrials,Rental & Leasing Services,Ireland,14.63B,8.67,61.2,-0.67%,1192506
23,24,AES,The AES Corporation,Utilities,Utilities - Diversified,USA,14.38B,-,21.34,-0.70%,12276062
24,25,AESC,The AES Corporation,Utilities,Utilities - Diversified,USA,14.28B,-,83.04,-0.29%,49825
25,26,AFL,Aflac Incorporated,Financial,Insurance - Life,USA,42.15B,10.04,69.43,-0.47%,5584958
26,27,AGR,"Avangrid, Inc.",Utilities,Utilities - Regulated Electric,USA,14.98B,21.98,38.66,-0.18%,893338
27,28,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,40.98B,7.47,57.3,1.20%,10315800
28,29,AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers,USA,45.76B,39.69,213.78,0.07%,1553878
29,30,AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,USA,14.01B,28.92,91.5,-0.62%,3710643
30,31,ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,USA,27.10B,7.32,228.17,-1.19%,2347804
31,32,ALC,Alcon Inc.,Healthcare,Medical Instruments & Supplies,Switzerland,39.97B,116.10,81.27,0.47%,929124
32,33,ALGN,"Align Technology, Inc.",Healthcare,Medical Devices,USA,25.50B,81.73,330.29,-0.87%,1257852
33,34,ALL,The Allstate Corporation,Financial,Insurance - Property & Casualty,USA,29.06B,-,111.17,0.57%,3777524
34,35,ALLE,Allegion plc,Industrials,Security & Protection Services,Ireland,10.46B,21.38,118.43,-0.43%,2881474
35,36,ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,25.20B,-,201.57,-0.38%,847459
36,37,AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,USA,117.66B,18.32,138.93,-0.84%,8842976
37,38,AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,Switzerland,15.13B,15.85,10.35,0.68%,19427395
38,39,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,USA,200.07B,498.26,120.08,-3.35%,81648013
39,40,AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,USA,36.11B,30.20,155.91,-0.50%,1748880
40,41,AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,USA,122.06B,15.60,229.66,0.53%,6760699
41,42,AMH,American Homes 4 Rent,Real Estate,REIT - Residential,USA,12.78B,40.32,35.4,0.28%,4753384
42,43,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,USA,33.92B,16.51,325.0,-0.18%,936930
43,44,AMT,American Tower Corporation,Real Estate,REIT - Specialty,USA,90.54B,64.23,192.89,-0.71%,3281162
44,45,AMX,"America Movil, S.A.B. de C.V.",Communication Services,Telecom Services,Mexico,70.29B,14.75,22.02,-0.90%,1114980
45,46,AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,USA,1304.19B,304.59,125.49,-1.27%,83469181
46,47,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,USA,50.39B,32.83,157.79,-3.47%,4497419
47,48,ANSS,"ANSYS, Inc.",Technology,Software - Application,USA,29.19B,52.83,334.37,-0.72%,886679
48,49,AON,Aon plc,Financial,Insurance Brokers,Ireland,67.62B,26.42,329.38,-0.51%,1463286
49,50,AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,USA,10.61B,45.51,71.0,0.69%,1763806
50,51,APA,APA Corporation,Energy,Oil & Gas E&P,USA,10.70B,5.56,34.38,-0.84%,9091358
51,52,APD,"Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,USA,64.59B,30.14,293.17,0.83%,1809753
52,53,APH,Amphenol Corporation,Technology,Electronic Components,USA,48.74B,26.57,82.15,0.34%,3715840
53,54,APLS,"Apellis Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,10.43B,-,89.27,-0.37%,2001521
54,55,APO,"Apollo Global Management, Inc.",Financial,Asset Management,USA,43.91B,-,77.08,-0.40%,4105090
55,56,APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,Ireland,27.40B,45.55,101.44,0.16%,3239850
56,57,ARCC,Ares Capital Corporation,Financial,Asset Management,USA,10.17B,14.71,18.68,0.16%,8978360
57,58,ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,USA,20.96B,25.36,115.45,-4.70%,2916077
58,59,ARES,Ares Management Corporation,Financial,Asset Management,USA,28.48B,84.01,94.43,-0.88%,1798428
59,60,ARGX,argenx SE,Healthcare,Biotechnology,Netherlands,21.99B,-,399.94,0.99%,187463
60,61,ARMK,Aramark,Industrials,Specialty Business Services,USA,10.48B,42.89,40.53,0.77%,3285311
61,62,ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,Netherlands,297.31B,37.87,721.88,-2.28%,1336013
62,63,ASX,"ASE Technology Holding Co., Ltd.",Technology,Semiconductors,Taiwan,18.00B,10.65,8.85,-1.01%,6981151
63,64,ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,USA,16.98B,20.10,117.0,-0.42%,1510044
64,65,ATVI,"Activision Blizzard, Inc.",Communication Services,Electronic Gaming & Multimedia,USA,64.03B,34.88,81.97,0.64%,12232423
65,66,AU,AngloGold Ashanti Limited,Basic Materials,Gold,South Africa,10.37B,34.17,24.16,-1.63%,4446923
66,67,AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,USA,27.05B,26.41,192.45,1.01%,1635482
67,68,AVGO,Broadcom Inc.,Technology,Semiconductors,USA,364.58B,27.16,868.11,-1.73%,6824997
68,69,AVTR,"Avantor, Inc.",Basic Materials,Specialty Chemicals,USA,13.43B,22.22,19.95,0.25%,8557076
69,70,AVY,Avery Dennison Corporation,Consumer Cyclical,Packaging & Containers,USA,13.65B,20.59,171.09,1.19%,921733
70,71,AWK,"American Water Works Company, Inc.",Utilities,Utilities - Regulated Water,USA,28.82B,32.74,148.98,0.60%,2040747
71,72,AXON,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA,14.93B,107.47,202.36,0.13%,3199447
72,73,AXP,American Express Company,Financial,Credit Services,USA,129.18B,18.04,172.21,-0.92%,4613584
73,74,AZN,AstraZeneca PLC,Healthcare,Drug Manufacturers - General,United Kingdom,229.31B,49.88,75.22,0.80%,4899807
74,75,AZO,"AutoZone, Inc.",Consumer Cyclical,Specialty Retail,USA,45.34B,19.60,2493.83,-0.14%,417251
75,76,AZPN,"Aspen Technology, Inc.",Technology,Software - Application,USA,10.82B,-,167.33,0.31%,488136
76,77,BA,The Boeing Company,Industrials,Aerospace & Defense,USA,132.00B,-,219.99,0.26%,7771621
77,78,BABA,Alibaba Group Holding Limited,Consumer Cyclical,Internet Retail,China,238.57B,23.71,92.1,-0.11%,24987197
78,79,BAC,Bank of America Corporation,Financial,Banks - Diversified,USA,234.05B,8.80,29.19,-0.61%,51849290
79,80,BAH,Booz Allen Hamilton Holding Corporation,Industrials,Consulting Services,USA,14.05B,53.58,108.61,1.15%,1171995
80,81,BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers,USA,17.14B,41.15,58.43,7.23%,11536699
81,82,BAM,Brookfield Asset Management Ltd.,Financial,Asset Management,Canada,13.96B,6.61,33.26,-1.77%,2063425
82,83,BAP,Credicorp Ltd.,Financial,Banks - Regional,Peru,14.01B,8.87,149.29,0.60%,610284
83,84,BATRA,The Liberty Braves Group,Communication Services,Entertainment,USA,30.69B,-,41.33,-0.12%,184625
84,85,BATRK,The Liberty Braves Group,Communication Services,Entertainment,USA,30.28B,-,39.73,-0.95%,250946
85,86,BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,USA,22.49B,-,45.36,2.02%,7916070
86,87,BBD,Banco Bradesco S.A.,Financial,Banks - Regional,Brazil,34.76B,10.32,3.51,-0.28%,21857921
87,88,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",Financial,Banks - Diversified,Spain,43.97B,6.55,7.45,0.81%,1079221
88,89,BBY,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail,USA,17.23B,13.49,79.79,1.03%,6434063
89,90,BCE,BCE Inc.,Communication Services,Telecom Services,Canada,41.39B,21.50,45.7,0.64%,1814152
90,91,BCH,Banco de Chile,Financial,Banks - Regional,Chile,10.73B,6.15,21.25,0.24%,440888
91,92,BCS,Barclays PLC,Financial,Banks - Diversified,United Kingdom,30.29B,4.74,7.93,0.13%,8804747
92,93,BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,USA,72.75B,47.54,258.63,0.96%,1481696
93,94,BEKE,KE Holdings Inc.,Real Estate,Real Estate Services,China,20.09B,75.47,16.98,-0.59%,7937395
94,95,BEN,"Franklin Resources, Inc.",Financial,Asset Management,USA,13.67B,16.24,26.97,-1.21%,3236943
95,96,BF-A,Brown-Forman Corporation,Consumer Defensive,Beverages - Wineries & Distilleries,USA,31.60B,41.05,66.91,-0.93%,351009
96,97,BF-B,Brown-Forman Corporation,Consumer Defensive,Beverages - Wineries & Distilleries,USA,31.64B,40.12,65.4,0.31%,2667339
97,98,BG,Bunge Limited,Consumer Defensive,Farm Products,USA,14.19B,9.46,96.43,2.37%,2803253
98,99,BGNE,"BeiGene, Ltd.",Healthcare,Biotechnology,Cayman Islands,19.63B,-,200.21,-0.41%,550005
99,100,BHP,BHP Group Limited,Basic Materials,Other Industrial Metals & Mining,Australia,159.16B,8.79,63.17,-1.27%,2867132
100,101,BIDU,"Baidu, Inc.",Communication Services,Internet Content & Information,China,51.99B,26.74,145.11,-2.42%,2842350
101,102,BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - General,USA,43.11B,13.82,297.48,-0.12%,1914252
102,103,BILL,"BILL Holdings, Inc.",Technology,Software - Application,USA,12.17B,-,111.26,-2.80%,2161262
103,104,BIO,"Bio-Rad Laboratories, Inc.",Healthcare,Medical Devices,USA,11.18B,-,376.56,-0.66%,513109
104,105,BIP,Brookfield Infrastructure Partners L.P.,Utilities,Utilities - Diversified,Bermuda,16.79B,442.62,35.41,-3.30%,499307
105,106,BK,The Bank of New York Mellon Corporation,Financial,Asset Management,USA,35.41B,14.12,44.65,-0.49%,12628224
106,107,BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,USA,98.67B,25.89,2640.99,-1.15%,828632
107,108,BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,USA,30.61B,-,30.57,1.09%,12498282
108,109,BLDR,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,USA,15.77B,7.83,121.41,-1.30%,7814256
109,110,BLK,"BlackRock, Inc.",Financial,Asset Management,USA,106.51B,21.79,702.78,-1.18%,1280969
110,111,BMO,Bank of Montreal,Financial,Banks - Diversified,Canada,63.96B,11.86,90.21,0.55%,489824
111,112,BMRN,BioMarin Pharmaceutical Inc.,Healthcare,Biotechnology,USA,17.99B,258.84,96.29,0.47%,1423791
112,113,BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,USA,135.86B,19.28,66.16,2.30%,19344176
113,114,BN,Brookfield Corporation,Financial,Asset Management,Canada,54.79B,81.80,33.54,0.27%,2642681
114,115,BNS,The Bank of Nova Scotia,Financial,Banks - Diversified,Canada,60.11B,9.80,50.16,-0.59%,1147773
115,116,BNTX,BioNTech SE,Healthcare,Biotechnology,Germany,27.23B,4.15,112.55,-0.40%,663599
116,117,BP,BP p.l.c.,Energy,Oil & Gas Integrated,United Kingdom,102.73B,3.95,35.35,-0.08%,6858310
117,118,BR,"Broadridge Financial Solutions, Inc.",Technology,Information Technology Services,USA,18.84B,34.45,160.8,0.69%,1159028
118,119,BRK-A,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,USA,745.30B,98.77,514000.0,-0.46%,6534
119,120,BRK-B,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,USA,739.57B,-,338.31,-0.44%,8461113
120,121,BRKR,Bruker Corporation,Healthcare,Medical Devices,USA,11.05B,35.94,75.48,0.19%,1553683
121,122,BRO,"Brown & Brown, Inc.",Financial,Insurance Brokers,USA,18.73B,27.38,66.25,0.30%,1946063
122,123,BSBR,Banco Santander (Brasil) S.A.,Financial,Banks - Regional,Brazil,23.84B,16.9,6.39,-0.16%,989826
123,124,BSX,Boston Scientific Corporation,Healthcare,Medical Devices,USA,77.61B,92.7,54.32,0.63%,13015827
124,125,BSY,"Bentley Systems, Incorporated",Technology,Software - Application,USA,15.85B,103.68,53.29,-1.35%,1724131
125,126,BTI,British American Tobacco p.l.c.,Consumer Defensive,Tobacco,United Kingdom,73.01B,8.72,32.82,-0.15%,4818460
126,127,BTO,John Hancock Financial Opportunities Fund,Financial,Closed-End Fund - Equity,USA,46.60B,88.16,27.86,1.90%,143247
127,128,BUD,Anheuser-Busch InBev SA/NV,Consumer Defensive,Beverages - Brewers,Belgium,99.87B,15.99,58.21,-0.61%,3547631
128,129,BWA,BorgWarner Inc.,Consumer Cyclical,Auto Parts,USA,11.32B,11.91,48.6,0.66%,4733941
129,130,BX,Blackstone Inc.,Financial,Asset Management,USA,112.79B,110.19,91.13,-1.64%,5652892
130,131,C,Citigroup Inc.,Financial,Banks - Diversified,USA,94.53B,6.62,48.19,-0.76%,18204030
131,132,CAG,"Conagra Brands, Inc.",Consumer Defensive,Packaged Foods,USA,16.59B,20.68,34.64,-0.43%,4595105
132,133,CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,USA,22.70B,52.2,91.25,2.34%,5132748
133,134,CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,USA,38.85B,15.89,46.88,0.73%,9582853
134,135,CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,USA,127.64B,18.13,245.27,-0.97%,5209376
135,136,CB,Chubb Limited,Financial,Insurance - Property & Casualty,Switzerland,79.21B,15.66,194.94,1.92%,3376661
136,137,CBOE,"Cboe Global Markets, Inc.",Financial,Financial Data & Stock Exchanges,USA,14.58B,49.32,137.36,-0.52%,1108959
137,138,CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,USA,24.45B,22.37,77.81,-1.09%,3406437
138,139,CCEP,Coca-Cola Europacific Partners PLC,Consumer Defensive,Beverages - Non-Alcoholic,United Kingdom,30.11B,18.13,65.35,-0.41%,1962455
139,140,CCI,Crown Castle Inc.,Real Estate,REIT - Specialty,USA,50.69B,29.75,114.61,-1.95%,3981529
140,141,CCJ,Cameco Corporation,Energy,Uranium,Canada,13.70B,105.51,31.76,0.38%,4296991
141,142,CCK,"Crown Holdings, Inc.",Consumer Cyclical,Packaging & Containers,USA,10.42B,17.50,88.81,2.37%,20478600
142,143,CCL,Carnival Corporation & plc,Consumer Cyclical,Travel Services,USA,20.03B,-,15.8,-1.99%,50985481
143,144,CDAY,Ceridian HCM Holding Inc.,Technology,Software - Application,USA,10.51B,-,67.08,-1.06%,2256607
144,145,CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,USA,64.84B,75.52,235.84,-0.81%,5005890
145,146,CDW,CDW Corporation,Technology,Information Technology Services,USA,24.02B,22.32,178.15,-0.03%,1527771
146,147,CE,Celanese Corporation,Basic Materials,Chemicals,USA,12.71B,8.34,114.0,-2.40%,2258082
147,148,CEG,Constellation Energy Corporation,Utilities,Utilities - Renewable,USA,30.32B,-,92.89,-0.61%,4961890
148,149,CELH,"Celsius Holdings, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,USA,11.11B,-,144.44,-0.21%,861068
149,150,CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,USA,13.66B,4.76,71.27,1.70%,5873223
150,151,CFG,"Citizens Financial Group, Inc.",Financial,Banks - Regional,USA,13.40B,6.55,27.26,-1.55%,11758540
151,152,CFLT,"Confluent, Inc.",Technology,Software - Infrastructure,USA,10.21B,-,34.69,0.58%,7960687
152,153,CG,The Carlyle Group Inc.,Financial,Asset Management,USA,11.45B,15.25,31.38,-0.73%,3510520
153,154,CHD,"Church & Dwight Co., Inc.",Consumer Defensive,Household & Personal Products,USA,23.41B,57.44,96.16,0.33%,1825099
154,155,CHDN,Churchill Downs Incorporated,Consumer Cyclical,Gambling,USA,10.21B,18.92,136.39,-0.95%,642757
155,156,CHK,Chesapeake Energy Corporation,Energy,Oil & Gas E&P,USA,10.91B,1.73,82.36,1.02%,1056924
156,157,CHKP,Check Point Software Technologies Ltd.,Technology,Software - Infrastructure,Israel,15.75B,19.86,130.91,0.35%,1587270
157,158,CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,USA,11.11B,15.25,94.62,-0.78%,1840603
158,159,CHT,"Chunghwa Telecom Co., Ltd.",Communication Services,Telecom Services,Taiwan,31.75B,26.37,40.88,-0.29%,138395
159,160,CHTR,"Charter Communications, Inc.",Communication Services,Telecom Services,USA,51.63B,11.18,341.24,-0.47%,1720985
160,161,CHWY,"Chewy, Inc.",Consumer Cyclical,Internet Retail,USA,17.32B,322.28,39.64,-2.17%,3982761
161,162,CI,The Cigna Group,Healthcare,Healthcare Plans,USA,79.73B,12.26,268.83,-0.24%,2894785
162,163,CINF,Cincinnati Financial Corporation,Financial,Insurance - Property & Casualty,USA,15.78B,668.21,100.9,0.50%,2512223
163,164,CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,USA,63.71B,40.77,77.78,1.28%,7364899
164,165,CLX,The Clorox Company,Consumer Defensive,Household & Personal Products,USA,19.16B,263.54,156.54,1.02%,1620715
165,166,CM,Canadian Imperial Bank of Commerce,Financial,Banks - Diversified,Canada,39.76B,11.25,44.15,0.59%,2956385
166,167,CMCSA,Comcast Corporation,Communication Services,Telecom Services,USA,172.88B,31.24,41.2,-0.65%,33882710
167,168,CME,CME Group Inc.,Financial,Financial Data & Stock Exchanges,USA,65.55B,23.39,184.11,1.04%,3637833
168,169,CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,USA,56.60B,55.00,2032.92,-0.91%,343603
169,170,CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,USA,33.58B,13.29,235.81,-0.58%,1788610
170,171,CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,USA,17.80B,28.77,60.74,-0.46%,2644767
171,172,CNA,CNA Financial Corporation,Financial,Insurance - Property & Casualty,USA,10.36B,11.94,38.51,0.71%,508950
172,173,CNC,Centene Corporation,Healthcare,Healthcare Plans,USA,36.28B,24.91,65.66,-0.70%,5622573
173,174,CNHI,CNH Industrial N.V.,Industrials,Farm & Heavy Construction Machinery,United Kingdom,19.90B,9.08,14.53,-0.21%,4575350
174,175,CNI,Canadian National Railway Company,Industrials,Railroads,Canada,79.55B,19.76,118.95,0.84%,1637766
175,176,CNP,"CenterPoint Energy, Inc.",Utilities,Utilities - Regulated Electric,USA,18.47B,22.98,29.18,-0.31%,6640359
176,177,CNQ,Canadian Natural Resources Limited,Energy,Oil & Gas E&P,Canada,61.57B,8.59,55.01,-1.06%,1546003
177,178,COF,Capital One Financial Corporation,Financial,Credit Services,USA,42.63B,7.59,110.07,-1.42%,4275906
178,179,COIN,"Coinbase Global, Inc.",Financial,Financial Data & Stock Exchanges,USA,12.73B,-,55.59,2.47%,13699144
179,180,COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,USA,18.20B,63.29,367.41,-0.04%,628289
180,181,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,126.03B,8.37,104.92,0.74%,9904786
181,182,COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,USA,234.51B,38.79,523.65,-1.05%,3140937
182,183,COTY,Coty Inc.,Consumer Defensive,Household & Personal Products,USA,10.62B,66.52,12.44,-0.08%,6694373
183,184,CP,Canadian Pacific Kansas City Limited,Industrials,Railroads,Canada,96.36B,19.66,78.52,0.11%,1816780
184,185,CPB,Campbell Soup Company,Consumer Defensive,Packaged Foods,USA,13.84B,17.79,46.42,-0.04%,3679510
185,186,CPNG,"Coupang, Inc.",Consumer Cyclical,Internet Retail,USA,30.19B,148.97,17.28,1.83%,9375071
186,187,CPRT,"Copart, Inc.",Industrials,Specialty Business Services,USA,41.59B,36.50,87.28,0.20%,4188973
187,188,CPT,Camden Property Trust,Real Estate,REIT - Residential,USA,11.97B,20.00,113.11,0.86%,1257790
188,189,CQP,"Cheniere Energy Partners, L.P.",Energy,Oil & Gas Midstream,USA,22.78B,6.84,47.07,2.73%,592169
189,190,CRBG,"Corebridge Financial, Inc.",Financial,Asset Management,USA,10.83B,2.51,16.47,-1.44%,2869032
190,191,CRH,CRH plc,Basic Materials,Building Materials,Ireland,38.16B,15.24,53.14,0.78%,1746004
191,192,CRL,"Charles River Laboratories International, Inc.",Healthcare,Diagnostics & Research,USA,10.69B,21.72,209.99,0.49%,667462
192,193,CRM,"Salesforce, Inc.",Technology,Software - Application,USA,206.41B,557.26,211.76,-0.08%,13661531
193,194,CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,USA,37.89B,-,155.14,-2.92%,6340498
194,195,CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,USA,211.62B,18.72,52.07,0.27%,37112242
195,196,CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services,USA,34.35B,91.96,84.14,0.08%,7613417
196,197,CSL,Carlisle Companies Incorporated,Industrials,Building Products & Equipment,USA,12.26B,15.12,239.58,-0.37%,979992
197,198,CSX,CSX Corporation,Industrials,Railroads,USA,68.23B,16.31,33.21,-1.04%,30031174
198,199,CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,50.07B,39.45,491.36,-0.21%,625449
199,200,CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,USA,19.00B,4.83,25.21,0.52%,21771520
200,201,CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,USA,32.85B,14.52,65.08,0.53%,5836794
201,202,CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,USA,41.00B,33.59,57.23,-0.78%,10088758
