,No.,Ticker,Market Cap,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Price,Change,Volume
324,325,GLPI,13.10B,261.79M,246.04M,0.10%,-28.93%,92.20%,2.88%,1.48%,3.38,1.08M,49.83,-0.24%,1686676
325,326,GLW,28.77B,844.00M,763.28M,0.10%,-28.27%,70.00%,-2.11%,0.74%,1.24,4.57M,35.85,5.94%,21244427
326,327,GM,52.87B,1.40B,1.35B,0.20%,-0.10%,82.80%,-3.21%,2.46%,2.29,14.51M,37.96,-0.18%,14509190
327,328,GMAB,25.20B,653.18M,652.65M,-,-,6.90%,25.02%,0.55%,9.24,390.16K,38.77,0.05%,600709
328,329,GOLD,28.95B,1.75B,1.75B,0.10%,0.00%,63.30%,-1.77%,1.58%,1.75,15.82M,16.71,1.33%,21130784
329,330,GOOG,1571.57B,5.87B,5.11B,0.01%,-15.59%,64.20%,-,0.69%,1.29,27.30M,124.06,-1.38%,56622622
330,331,GOOGL,1592.38B,6.82B,5.92B,0.28%,-0.96%,78.60%,-0.21%,0.87%,1.46,35.03M,123.53,-1.25%,44465949
331,332,GPC,22.71B,140.80M,137.98M,0.10%,3.00%,82.40%,1.07%,1.60%,2.1,1.05M,161.47,-0.11%,1381324
332,333,GPN,26.71B,263.12M,260.24M,0.20%,-0.29%,90.80%,0.59%,1.70%,1.9,2.33M,100.68,-1.25%,3751644
333,334,GRAB,13.37B,3.85B,2.58B,27.55%,0.00%,48.00%,1.28%,4.60%,6.93,17.10M,3.42,-0.58%,23693368
334,335,GRMN,20.31B,191.50M,153.38M,0.10%,-17.61%,55.50%,0.88%,2.02%,4.17,742.65K,106.0,-0.14%,1380234
335,336,GS,112.94B,346.60M,331.57M,0.30%,-1.67%,71.40%,-0.22%,1.10%,1.63,2.23M,338.31,-0.42%,4481390
336,337,GSK,71.28B,2.02B,1.99B,0.20%,0.00%,13.80%,0.62%,0.17%,1.18,2.82M,35.15,-0.34%,5945434
337,338,GWW,37.32B,50.20M,45.63M,0.20%,-36.31%,75.40%,0.88%,2.56%,4.17,279.77K,732.43,-1.54%,419238
338,339,H,11.92B,106.39M,46.32M,1.70%,-6.27%,104.17%,-0.34%,9.83%,5.49,829.35K,113.17,0.40%,694206
339,340,HAL,29.51B,904.00M,901.01M,0.30%,-11.07%,84.70%,0.89%,3.02%,2.7,10.07M,32.58,-0.40%,10388206
340,341,HBAN,15.72B,1.44B,1.43B,0.60%,-3.30%,83.70%,1.70%,3.16%,2.41,18.75M,10.92,0.28%,25608002
341,342,HBANL,15.76B,13.00M,13.00M,-,-,8.44%,-,0.34%,0.24,186.64K,24.86,0.12%,22085
342,343,HBANP,15.76B,20.00M,20.00M,-,-,17.86%,-,0.31%,0.82,76.31K,18.74,-1.11%,40466
343,344,HCA,78.65B,276.91M,210.77M,0.10%,-28.80%,66.80%,-2.43%,1.09%,1.85,1.24M,290.08,1.47%,2962332
344,345,HD,303.65B,1.01B,1.00B,0.08%,-0.18%,71.70%,0.41%,1.33%,3.07,4.35M,300.38,-0.54%,10795560
345,346,HDB,107.90B,1.85B,1.83B,-,-,18.30%,0.94%,0.09%,1.04,1.59M,66.45,2.86%,2832053
346,347,HEI,20.02B,136.92M,116.36M,4.00%,-0.53%,70.50%,-0.00%,1.45%,4.95,341.10K,165.89,-0.23%,278943
347,348,HEI-A,19.98B,82.28M,74.42M,9.56%,-0.18%,97.24%,-,0.62%,2.38,193.78K,132.54,-0.15%,361767
348,349,HES,41.70B,305.40M,276.00M,0.10%,-62.85%,88.40%,-0.09%,1.50%,2.52,1.64M,135.56,-0.18%,2568214
349,350,HIG,22.05B,314.00M,308.90M,0.20%,-14.28%,93.60%,-1.64%,0.77%,1.14,2.08M,71.88,1.15%,2607683
350,351,HLN,37.54B,4.62B,2.84B,6.41%,0.00%,6.70%,-,0.50%,3.33,4.30M,8.42,0.96%,2096395
351,352,HLT,37.22B,266.00M,259.65M,0.20%,-7.81%,98.60%,-2.78%,1.64%,2.57,1.66M,140.81,0.10%,2668234
352,353,HMC,58.33B,1.68B,1.66B,0.30%,0.00%,5.50%,3.31%,0.11%,1.64,1.08M,31.32,-2.13%,2601854
353,354,HOLX,19.95B,247.73M,244.05M,1.10%,-0.42%,100.05%,-9.33%,2.36%,4.2,1.37M,81.2,0.20%,4133676
354,355,HON,135.57B,667.80M,664.84M,0.10%,-0.96%,75.90%,0.09%,0.91%,2.45,2.47M,202.97,-0.37%,5002796
355,356,HPE,22.54B,1.30B,1.28B,0.20%,-36.28%,85.40%,-0.76%,2.32%,2.25,13.19M,17.57,0.69%,24479472
356,357,HPQ,30.66B,991.00M,970.20M,0.10%,-11.40%,83.70%,-5.45%,2.13%,2.86,7.22M,31.0,-0.32%,13959223
357,358,HRL,22.56B,546.42M,287.16M,0.20%,-4.96%,41.40%,0.10%,3.84%,4.7,2.35M,41.27,-0.07%,3332910
358,359,HSBC,154.91B,3.97B,3.97B,0.30%,0.00%,1.40%,1.56%,0.24%,5.02,1.90M,39.18,0.33%,1701440
359,360,HST,12.17B,713.40M,706.78M,1.11%,-0.05%,107.13%,-0.50%,4.49%,4.71,6.73M,17.05,-0.35%,9087653
360,361,HSY,53.32B,204.86M,146.48M,0.40%,-62.26%,79.10%,0.34%,2.93%,4.19,1.03M,260.72,-0.05%,1576480
361,362,HTHT,14.70B,317.42M,202.57M,56.40%,0.00%,46.60%,-1.85%,4.78%,6.24,1.55M,43.0,-2.89%,1796423
362,363,HUBB,17.20B,53.60M,53.45M,0.20%,-8.45%,93.20%,1.55%,1.42%,1.94,392.05K,320.38,-0.20%,828246
363,364,HUBS,25.82B,49.40M,46.26M,4.70%,-5.59%,93.80%,1.36%,2.50%,1.97,588.29K,519.32,-0.13%,720542
364,365,HUM,57.96B,125.00M,124.71M,0.10%,-24.43%,96.10%,-0.31%,1.27%,1.55,1.02M,445.65,-3.92%,5292762
365,366,HWM,19.03B,412.00M,410.92M,0.69%,-2.10%,93.60%,0.59%,0.88%,1.23,2.95M,45.98,-0.13%,2976300
366,367,HZNP,23.16B,228.40M,223.96M,1.17%,-2.74%,95.80%,1.84%,3.25%,3.21,2.26M,101.63,0.32%,2796558
367,368,IBKR,34.23B,102.96M,99.71M,2.00%,-4.21%,91.20%,1.41%,1.29%,1.35,948.33K,80.28,-0.82%,962595
368,369,IBM,125.67B,907.53M,903.33M,0.09%,-4.62%,58.50%,1.43%,2.69%,4.97,4.89M,137.48,-0.66%,7468309
369,370,IBN,79.13B,3.49B,3.39B,62.40%,0.00%,17.50%,5.95%,0.41%,3.26,4.21M,22.87,0.00%,6173247
370,371,ICE,62.92B,559.00M,550.82M,0.20%,-17.40%,91.20%,-1.06%,0.72%,1.65,2.40M,111.68,-0.62%,3803685
371,372,ICLR,19.14B,81.78M,81.08M,4.00%,0.00%,98.16%,0.90%,1.66%,2.19,616.03K,234.12,0.21%,551071
372,373,IDXX,39.96B,82.99M,82.01M,0.30%,-11.23%,91.80%,-0.23%,2.53%,5.32,390.33K,483.03,0.33%,706647
373,374,IEP,10.57B,354.00M,336.90M,0.10%,0.00%,86.90%,3.42%,1.41%,1.72,2.77M,27.94,-2.38%,3081634
374,375,IEX,15.90B,75.60M,75.17M,0.10%,-4.03%,100.77%,-1.75%,1.23%,2.17,425.79K,209.75,-0.31%,872664
375,376,IFF,20.28B,255.00M,254.38M,0.22%,-0.35%,93.30%,-0.78%,1.37%,1.93,1.80M,80.35,1.07%,5049504
376,377,IHG,12.08B,178.00M,168.37M,1.00%,0.00%,4.80%,1.31%,0.41%,4.65,147.60K,71.23,-0.45%,90758
377,378,ILMN,33.19B,158.00M,156.75M,0.10%,-6.49%,91.10%,2.69%,3.18%,4.03,1.24M,205.87,-1.94%,2441990
378,379,IMO,29.25B,584.20M,132.78M,69.60%,0.00%,18.10%,-4.53%,5.47%,15.15,479.71K,49.73,-0.66%,424380
379,380,INCY,13.96B,222.96M,218.93M,0.40%,-11.71%,98.50%,0.61%,3.14%,3.79,1.81M,63.23,1.04%,8439018
380,381,INFY,64.97B,4.14B,3.56B,18.20%,0.00%,14.10%,-5.66%,1.23%,3.87,11.30M,15.83,1.34%,18245147
381,382,ING,47.91B,3.62B,3.56B,1.00%,0.00%,4.20%,-6.83%,0.10%,0.92,3.82M,13.4,0.30%,2432514
382,383,INTC,149.41B,4.15B,4.12B,0.06%,1.53%,62.50%,-1.85%,1.61%,1.46,45.64M,36.37,1.54%,110103134
383,384,INTU,127.80B,281.00M,272.91M,0.20%,-1.61%,87.00%,0.38%,1.22%,1.82,1.83M,455.03,-0.28%,2618104
384,385,INVH,21.01B,611.59M,610.08M,0.31%,0.00%,105.27%,3.21%,2.84%,5.95,2.91M,34.4,0.17%,4749352
385,386,IOT,15.35B,526.40M,153.38M,3.70%,-42.88%,71.60%,3.76%,7.58%,3.07,3.79M,28.9,-0.52%,8777117
386,387,IP,11.04B,349.30M,346.48M,0.40%,-6.42%,88.10%,-3.56%,2.84%,3.09,3.19M,31.98,0.53%,7097952
387,388,IPG,15.67B,385.80M,384.49M,0.51%,-7.89%,101.87%,-1.16%,3.82%,3.0,4.89M,40.04,-1.36%,6230899
388,389,IQV,40.22B,185.80M,184.29M,0.88%,-0.68%,91.10%,0.40%,1.28%,2.03,1.16M,216.02,-0.35%,1181617
389,390,IR,26.18B,405.00M,404.13M,0.10%,-33.43%,99.11%,-8.51%,1.30%,2.28,2.30M,64.52,-0.29%,4460532
390,391,IRM,16.67B,291.44M,288.19M,0.10%,-54.88%,80.20%,1.15%,4.30%,9.34,1.33M,56.76,-0.70%,2379242
391,392,ISRG,115.03B,350.20M,348.62M,0.51%,-11.32%,86.60%,-0.45%,0.75%,1.62,1.61M,329.36,0.33%,3109805
392,393,IT,28.15B,79.45M,76.57M,2.70%,-3.52%,94.70%,0.25%,2.73%,3.86,541.20K,356.54,0.10%,1345885
393,394,ITUB,53.98B,9.79B,5.25B,52.10%,0.00%,18.10%,-4.25%,0.46%,0.97,24.95M,5.9,0.00%,18295547
394,395,ITW,75.00B,305.00M,302.90M,0.10%,-49.90%,82.60%,0.42%,1.93%,5.12,1.14M,247.99,0.48%,2186397
395,396,IX,22.30B,234.26M,-,0.50%,0.00%,1.70%,-4.84%,-,1.57,25.68K,89.33,-1.36%,109609
396,397,J,14.74B,126.89M,125.08M,1.10%,-2.78%,88.30%,-0.12%,1.04%,2.11,616.35K,116.57,0.29%,1273237
397,398,JBHT,18.34B,103.72M,81.90M,0.30%,-4.58%,77.50%,-3.41%,3.78%,4.41,700.78K,176.68,-0.14%,986858
398,399,JBL,13.88B,133.60M,130.62M,3.10%,-6.48%,91.50%,-2.19%,2.32%,2.76,1.10M,105.36,0.69%,2298166
399,400,JCI,45.04B,686.80M,685.25M,0.20%,-5.74%,97.80%,0.08%,0.94%,1.63,3.96M,65.47,-0.27%,3935136
400,401,JD,62.61B,1.57B,1.26B,6.05%,0.00%,16.10%,-11.31%,1.89%,2.02,11.71M,39.85,-0.28%,11044925
401,402,JHX,11.94B,444.20M,440.41M,0.60%,0.00%,1.30%,8.66%,0.01%,0.74,50.41K,27.51,-0.72%,33427
402,403,JKHY,12.05B,72.94M,72.29M,0.50%,0.82%,94.10%,0.59%,4.73%,4.56,750.55K,163.54,-1.11%,732858
403,404,JNJ,425.49B,2.61B,2.60B,0.10%,-0.54%,70.80%,-0.36%,0.57%,2.1,7.04M,164.23,0.31%,13397390
404,405,JNPR,10.43B,322.30M,320.20M,1.30%,-3.24%,93.40%,-0.70%,2.47%,2.01,3.94M,32.47,0.09%,6112114
405,406,JPM,418.15B,2.97B,2.91B,0.10%,-7.91%,70.80%,0.11%,0.59%,1.36,12.65M,143.26,0.12%,13797886
406,407,K,22.60B,342.00M,238.94M,16.50%,-2.25%,85.60%,-1.00%,4.41%,4.67,2.26M,66.29,0.53%,3914303
407,408,KB,15.27B,388.12M,384.25M,12.60%,0.00%,6.40%,7.76%,0.13%,2.02,249.55K,37.97,-0.94%,196184
408,409,KDP,44.58B,1.41B,886.21M,37.20%,-5.49%,54.10%,-0.98%,1.08%,1.04,9.23M,32.17,1.29%,15542447
409,410,KEYS,29.50B,178.00M,177.42M,0.60%,-6.07%,87.70%,-3.09%,1.71%,2.71,1.12M,164.86,-0.33%,1926856
410,411,KHC,45.25B,1.23B,781.63M,0.40%,-5.40%,78.30%,2.84%,1.53%,1.77,6.77M,36.99,0.33%,12246357
411,412,KIM,12.01B,616.49M,605.44M,2.24%,-0.07%,96.00%,-1.60%,2.47%,3.33,4.48M,19.45,0.36%,4544902
412,413,KKR,50.58B,861.11M,741.43M,3.00%,-59.24%,55.50%,0.60%,1.35%,3.61,2.77M,57.2,-2.41%,4647441
413,414,KLAC,64.84B,137.87M,136.84M,0.30%,-12.88%,91.60%,-4.54%,1.86%,2.36,1.08M,464.89,-1.63%,2010679
414,415,KMB,45.99B,337.50M,336.94M,0.24%,-6.79%,77.40%,1.13%,1.66%,3.27,1.71M,137.68,1.00%,2592967
415,416,KMI,38.12B,2.25B,1.96B,0.10%,-0.72%,63.00%,-0.08%,2.06%,3.19,12.68M,17.04,0.18%,24016493
416,417,KMX,12.79B,158.07M,157.64M,0.20%,2.63%,110.83%,1.46%,14.35%,11.15,2.03M,79.63,-1.51%,2313502
417,418,KO,264.79B,4.33B,4.30B,0.67%,-3.04%,71.50%,0.39%,0.48%,1.57,12.98M,61.67,0.72%,26713400
418,419,KOF,18.56B,210.08M,162.03M,85.50%,0.00%,56.10%,0.84%,0.19%,1.62,187.88K,88.14,-0.23%,85541
419,420,KR,32.97B,715.00M,710.95M,0.70%,-5.22%,81.30%,-0.01%,2.30%,2.87,5.71M,46.17,0.50%,10573424
420,421,KVUE,49.31B,1.91B,1.87B,-,-,-,-,0.30%,0.87,6.52M,26.25,1.94%,2332994
421,422,L,13.41B,233.30M,194.69M,0.40%,46.31%,61.30%,-3.35%,0.90%,2.1,834.43K,58.57,-0.46%,2987355
422,423,LBRDA,11.25B,146.00M,135.14M,9.73%,-0.07%,98.90%,0.32%,0.31%,2.8,148.37K,76.27,-0.65%,93636
423,424,LBRDK,11.19B,125.94M,116.21M,7.73%,-0.09%,95.96%,-,3.10%,4.57,788.52K,76.6,-0.53%,974997
424,425,LCID,13.23B,1.83B,1.61B,1.50%,279.85%,72.00%,0.71%,9.65%,6.74,23.06M,6.48,-1.67%,44962025
425,426,LDOS,11.69B,137.00M,135.44M,0.50%,1.49%,78.60%,-1.73%,1.31%,1.73,1.03M,85.89,0.76%,2760421
426,427,LECO,11.29B,57.60M,56.40M,0.20%,-52.31%,76.10%,-0.96%,3.26%,4.73,388.22K,195.93,-0.08%,666014
427,428,LEGN,12.15B,170.54M,168.20M,1.42%,0.00%,38.80%,20.18%,2.69%,5.13,884.11K,70.07,-1.66%,897357
428,429,LEN,38.39B,286.07M,247.16M,1.70%,-0.35%,98.20%,1.95%,2.80%,3.14,2.20M,120.02,0.18%,4573885
429,430,LEN-B,38.50B,35.63M,12.13M,61.54%,-0.01%,32.86%,-,1.36%,2.46,66.94K,105.72,1.39%,161741
430,431,LH,20.43B,88.40M,88.35M,0.10%,-17.99%,94.40%,-2.71%,1.86%,2.84,579.01K,234.27,1.61%,1053862
431,432,LHX,36.64B,190.20M,188.32M,0.30%,0.00%,84.70%,-0.56%,0.94%,1.66,1.07M,195.57,1.13%,1772134
432,433,LI,35.80B,979.17M,864.06M,0.04%,0.00%,29.50%,-3.20%,3.45%,4.13,7.21M,34.41,-0.15%,7234383
433,434,LII,10.96B,35.50M,31.82M,1.30%,-2.22%,72.00%,8.45%,4.10%,3.87,336.90K,311.04,0.74%,379364
434,435,LIN,184.30B,491.82M,488.62M,0.10%,-12.19%,85.80%,0.61%,0.65%,2.02,1.58M,375.29,-0.31%,4364364
435,436,LKQ,14.57B,267.40M,265.88M,0.50%,-81.86%,99.11%,-2.29%,1.15%,2.61,1.17M,54.23,-0.53%,2631234
436,437,LLY,430.90B,949.27M,947.45M,10.90%,-1.43%,84.80%,0.65%,0.63%,1.95,3.07M,447.71,-1.37%,4283691
437,438,LMT,116.05B,254.70M,254.34M,0.07%,-9.58%,76.30%,-0.74%,0.67%,1.45,1.17M,459.17,0.71%,1641733
438,439,LNG,35.76B,243.90M,240.11M,0.10%,-1.11%,87.50%,-0.71%,1.23%,1.88,1.57M,148.68,1.02%,1987540
439,440,LNT,13.51B,251.20M,250.65M,0.16%,0.00%,78.40%,2.84%,1.68%,2.84,1.48M,53.74,-0.02%,2353284
440,441,LOW,128.29B,596.00M,585.16M,0.10%,-13.93%,78.40%,-3.57%,2.23%,4.56,2.87M,217.08,-0.85%,6855455
441,442,LPLA,16.62B,78.75M,77.12M,0.60%,-19.20%,98.84%,-3.61%,1.29%,1.07,931.83K,208.98,-2.33%,918708
442,443,LRCX,83.42B,134.92M,133.88M,0.20%,-3.20%,86.40%,1.88%,2.54%,2.49,1.37M,612.65,-1.34%,2678036
443,444,LSCC,12.34B,137.42M,134.68M,1.00%,-22.44%,103.74%,-3.28%,9.72%,5.78,2.27M,88.66,-1.10%,2997244
444,445,LSI,11.08B,84.94M,84.56M,0.10%,-16.02%,95.10%,-0.65%,1.40%,1.11,1.07M,129.78,-0.34%,805307
445,446,LSXMA,30.69B,327.00M,94.44M,3.88%,-1.48%,98.58%,0.42%,5.43%,4.62,1.11M,30.9,0.10%,772486
446,447,LSXMK,30.28B,218.68M,195.43M,10.66%,-0.55%,84.92%,-,2.45%,4.17,1.15M,30.91,0.39%,1140794
447,448,LULU,46.66B,127.25M,106.65M,4.94%,-0.29%,89.00%,0.78%,2.71%,1.47,1.96M,383.02,0.10%,1802691
448,449,LUV,20.21B,594.00M,591.67M,0.10%,-0.83%,76.10%,-4.59%,2.90%,2.49,6.91M,34.25,0.82%,8737060
449,450,LVS,44.83B,764.00M,330.09M,56.79%,-0.00%,41.00%,0.34%,3.78%,3.0,4.16M,58.45,-0.36%,4881882
450,451,LW,16.72B,144.00M,139.58M,0.50%,-6.67%,91.50%,0.71%,1.68%,1.8,1.30M,114.34,-0.35%,1529063
451,452,LYB,29.85B,326.00M,254.76M,0.10%,-3.49%,71.90%,-0.31%,2.95%,3.65,2.06M,92.24,0.51%,4144097
452,453,LYG,37.49B,16.29B,16.25B,81.30%,0.00%,2.70%,8.63%,0.05%,0.7,11.68M,2.27,-0.87%,8564546
453,454,LYV,20.77B,228.16M,155.81M,2.30%,-1.87%,71.90%,-0.67%,8.34%,7.28,1.79M,90.18,-0.18%,3106510
454,455,MA,359.19B,953.00M,850.48M,10.70%,-2.31%,78.50%,-0.21%,0.65%,1.94,2.85M,376.53,-0.66%,5886891
455,456,MAA,17.99B,116.18M,114.67M,0.10%,-5.81%,95.60%,-1.52%,2.53%,4.49,645.67K,155.29,0.73%,1196027
456,457,MANH,12.02B,62.21M,61.55M,0.40%,-30.41%,99.40%,-1.16%,1.24%,2.44,311.57K,191.81,-0.99%,711363
457,458,MAR,53.84B,309.60M,256.28M,0.90%,-1.55%,61.70%,-3.32%,2.30%,3.41,1.73M,176.36,-0.18%,4717893
458,459,MAS,12.61B,226.00M,224.74M,0.10%,-69.85%,97.60%,-0.30%,2.78%,3.34,1.87M,55.5,-0.93%,3486825
459,460,MBLY,32.01B,801.91M,49.84M,1.50%,-75.85%,134.77%,-,27.03%,4.23,3.19M,39.16,-1.43%,3679880
460,461,MCD,213.63B,730.90M,728.42M,0.21%,-2.19%,70.20%,0.21%,0.74%,2.14,2.53M,293.7,0.37%,4885811
461,462,MCHP,46.56B,547.10M,538.57M,2.09%,-0.12%,93.30%,-2.53%,3.56%,3.88,4.95M,85.49,0.14%,9202383
462,463,MCK,54.22B,136.90M,135.26M,0.10%,-40.73%,89.30%,-1.28%,1.18%,1.68,950.71K,406.2,1.53%,1488747
463,464,MCO,63.92B,183.30M,182.66M,0.10%,-32.51%,94.40%,-0.31%,1.35%,3.31,746.32K,341.85,-1.85%,1242615
464,465,MDB,27.20B,70.18M,66.20M,2.60%,-12.99%,92.40%,1.67%,5.41%,2.06,1.74M,379.9,-1.43%,1613136
465,466,MDLZ,100.04B,1.37B,1.35B,0.16%,-0.92%,80.10%,-0.13%,1.04%,2.32,6.05M,73.57,0.15%,10878563
466,467,MDT,117.44B,1.33B,1.33B,0.09%,0.00%,84.60%,1.46%,0.67%,1.47,6.04M,89.15,1.02%,9043743
467,468,MELI,61.45B,50.24M,46.25M,7.85%,-0.01%,84.70%,1.72%,2.02%,2.25,415.62K,1194.74,-2.37%,779212
468,469,MET,42.24B,775.40M,659.31M,0.10%,-2.19%,75.50%,-0.79%,1.60%,1.76,5.99M,55.5,0.62%,10275175
469,470,META,722.25B,2.59B,2.20B,0.23%,-2.79%,75.20%,-1.60%,1.26%,1.18,23.53M,281.0,-0.29%,43001938
470,471,MFC,35.64B,1.86B,1.84B,0.03%,0.00%,53.70%,-1.54%,1.97%,11.57,3.14M,18.99,-1.61%,4603642
471,472,MFG,38.60B,12.68B,11.44B,0.30%,0.00%,0.50%,21.03%,0.00%,0.34,926.64K,2.98,-0.67%,325976
472,473,MGA,16.24B,286.10M,285.60M,1.60%,0.00%,72.20%,-1.85%,2.13%,5.65,1.08M,56.99,0.41%,915195
473,474,MGM,15.91B,374.08M,306.13M,17.50%,-1.04%,68.60%,-7.52%,3.56%,2.49,4.37M,42.64,-2.47%,7900910
474,475,MKC,24.67B,268.20M,263.37M,0.50%,-3.25%,88.90%,1.63%,2.81%,5.03,1.47M,92.65,0.73%,1712860
475,476,MKL,17.86B,13.45M,13.17M,0.60%,0.97%,78.60%,-1.31%,0.92%,3.43,35.42K,1343.69,0.39%,53665
476,477,MKTX,10.56B,37.48M,36.67M,1.90%,-0.67%,99.60%,-0.76%,3.60%,3.65,361.30K,277.15,-1.09%,1206502
477,478,MLM,26.61B,62.10M,61.68M,0.50%,0.00%,96.90%,-2.27%,1.21%,2.07,359.92K,426.54,-0.68%,614593
478,479,MMC,89.31B,495.00M,490.05M,0.12%,-5.77%,90.80%,-1.99%,0.75%,2.1,1.74M,181.15,0.34%,2850674
479,480,MMM,57.27B,552.70M,543.75M,0.12%,-2.31%,68.10%,-1.01%,2.25%,3.46,3.54M,104.54,0.70%,6192663
480,481,MMP,12.16B,204.00M,200.97M,0.39%,0.00%,52.10%,-3.43%,1.73%,2.29,1.51M,60.1,-0.13%,4657114
481,482,MNST,61.55B,1.04B,744.76M,0.30%,-10.00%,69.00%,0.70%,1.31%,2.35,4.16M,58.45,-0.60%,7688721
482,483,MO,78.81B,1.79B,1.78B,0.09%,0.00%,59.60%,-1.44%,0.84%,1.83,8.22M,44.07,-0.18%,13649728
483,484,MOH,16.54B,58.30M,57.65M,0.80%,-1.04%,98.00%,-3.09%,3.62%,4.27,488.61K,278.02,-2.04%,763075
484,485,MOS,11.72B,335.40M,330.16M,0.51%,0.00%,90.60%,-1.93%,2.90%,2.23,4.29M,35.82,1.53%,12257793
485,486,MPC,48.30B,444.00M,423.43M,0.20%,-13.38%,79.50%,-8.02%,3.03%,3.09,4.16M,113.29,-0.47%,10768231
