,No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
324,325,GLPI,0.08%,1.53%,0.06%,-4.77%,11.97%,-3.90%,1.48%,1.51%,2.1,1.08M,1.57,49.83,-0.24%,1686676
325,326,GLW,9.37%,16.32%,9.23%,6.29%,9.50%,12.24%,1.94%,2.07%,1.9,4.57M,4.65,35.85,5.94%,21244427
326,327,GM,4.78%,17.02%,13.72%,-1.04%,11.06%,12.84%,2.30%,2.82%,2.2,14.51M,1.0,37.96,-0.18%,14509190
327,328,GMAB,0.68%,-6.35%,8.15%,-15.44%,40.07%,-8.52%,1.50%,1.52%,2.6,390.16K,1.54,38.77,0.05%,600709
328,329,GOLD,-1.71%,-9.33%,-7.78%,-3.91%,-13.73%,-2.74%,2.01%,2.09%,2.2,15.82M,1.34,16.71,1.33%,21130784
329,330,GOOG,0.97%,2.12%,21.08%,30.16%,12.38%,39.82%,2.11%,2.30%,1.5,27.30M,2.07,124.06,-1.38%,56622622
330,331,GOOGL,1.06%,2.23%,21.56%,29.94%,12.54%,40.01%,2.10%,2.34%,1.8,35.03M,1.27,123.53,-1.25%,44465949
331,332,GPC,3.63%,-2.94%,-0.37%,-9.83%,21.94%,-6.94%,1.59%,1.75%,2.6,1.05M,1.32,161.47,-0.11%,1381324
332,333,GPN,0.59%,-2.99%,2.16%,3.02%,-10.78%,1.37%,2.26%,2.52%,2.0,2.33M,1.61,100.68,-1.25%,3751644
333,334,GRAB,-0.58%,6.21%,19.58%,3.32%,36.80%,6.21%,4.04%,5.75%,1.9,17.10M,1.39,3.42,-0.58%,23693368
334,335,GRMN,0.63%,2.96%,10.39%,10.66%,9.30%,14.86%,1.55%,1.47%,2.6,742.65K,1.86,106.0,-0.14%,1380234
335,336,GS,0.68%,2.46%,11.45%,-6.12%,16.63%,-1.48%,1.94%,1.92%,2.3,2.23M,2.01,338.31,-0.42%,4481390
336,337,GSK,1.12%,-2.74%,3.17%,-2.14%,-17.69%,0.03%,1.30%,1.24%,2.8,2.82M,2.11,35.15,-0.34%,5945434
337,338,GWW,3.67%,9.11%,10.39%,27.15%,54.83%,31.67%,2.54%,2.01%,2.6,279.77K,1.5,732.43,-1.54%,419238
338,339,H,-2.11%,0.43%,6.62%,13.60%,38.11%,25.12%,2.46%,2.68%,2.5,829.35K,0.84,113.17,0.40%,694206
339,340,HAL,0.74%,12.58%,8.78%,-10.86%,-8.51%,-17.20%,3.21%,3.40%,1.8,10.07M,1.03,32.58,-0.40%,10388206
340,341,HBAN,-0.27%,8.76%,5.61%,-21.61%,-12.92%,-22.55%,4.19%,3.52%,2.70,18.75M,1.37,10.92,0.28%,25608002
341,342,HBANL,-0.56%,3.80%,19.00%,-,-,-1.27%,0.92%,1.29%,-,186.64K,0.12,24.86,0.12%,22085
342,343,HBANP,1.46%,5.94%,20.05%,2.97%,0.20%,10.50%,3.04%,3.49%,-,76.31K,0.53,18.74,-1.11%,40466
343,344,HCA,6.73%,5.31%,15.73%,18.55%,59.66%,20.89%,2.22%,2.02%,1.80,1.24M,2.39,290.08,1.47%,2962332
344,345,HD,1.02%,2.73%,4.16%,-9.91%,7.38%,-4.90%,1.81%,2.05%,2.30,4.35M,2.48,300.38,-0.54%,10795560
345,346,HDB,1.22%,-0.67%,5.23%,-4.06%,25.76%,-2.87%,1.93%,1.41%,1.50,1.59M,1.78,66.45,2.86%,2832053
346,347,HEI,1.39%,-6.61%,1.55%,5.93%,23.67%,7.97%,1.34%,2.42%,2.30,341.10K,0.82,165.89,-0.23%,278943
347,348,HEI-A,1.40%,-5.34%,2.12%,7.41%,21.98%,10.59%,1.21%,2.51%,-,193.78K,1.87,132.54,-0.15%,361767
348,349,HES,-0.61%,2.55%,14.56%,-0.44%,15.71%,-4.41%,2.71%,2.59%,2.30,1.64M,1.56,135.56,-0.18%,2568214
349,350,HIG,0.79%,2.26%,9.37%,-4.43%,7.24%,-5.21%,1.54%,1.72%,2.10,2.08M,1.26,71.88,1.15%,2607683
350,351,HLN,3.31%,-2.77%,6.85%,7.26%,-,5.25%,1.07%,1.26%,-,4.30M,0.49,8.42,0.96%,2096395
351,352,HLT,-0.51%,-2.35%,3.13%,3.50%,15.52%,11.44%,1.72%,2.13%,2.40,1.66M,1.61,140.81,0.10%,2668234
352,353,HMC,1.89%,10.99%,25.63%,30.12%,25.68%,37.01%,0.93%,0.97%,1.70,1.08M,2.4,31.32,-2.13%,2601854
353,354,HOLX,4.42%,0.21%,5.36%,7.00%,18.85%,8.54%,2.24%,1.58%,2.40,1.37M,3.02,81.2,0.20%,4133676
354,355,HON,2.57%,3.55%,9.93%,-5.47%,9.73%,-5.29%,1.73%,1.69%,2.30,2.47M,2.02,202.97,-0.37%,5002796
355,356,HPE,11.27%,22.78%,24.61%,8.46%,24.88%,10.09%,3.16%,2.87%,2.60,13.19M,1.86,17.57,0.69%,24479472
356,357,HPQ,4.03%,2.41%,10.56%,9.31%,-9.91%,15.37%,1.76%,2.46%,2.90,7.22M,1.93,31.0,-0.32%,13959223
357,358,HRL,0.98%,4.88%,7.61%,-11.27%,-8.06%,-9.40%,1.03%,1.54%,3.40,2.35M,1.42,41.27,-0.07%,3332910
358,359,HSBC,1.90%,3.19%,18.44%,27.96%,21.83%,25.74%,0.95%,0.94%,1.00,1.90M,0.9,39.18,0.33%,1701440
359,360,HST,-3.84%,0.06%,11.15%,-1.77%,-1.94%,6.23%,2.38%,2.25%,2.20,6.73M,1.35,17.05,-0.35%,9087653
360,361,HSY,1.92%,-2.53%,7.23%,10.47%,26.45%,12.59%,1.41%,1.54%,2.7,1.03M,1.54,260.72,-0.05%,1576480
361,362,HTHT,-0.16%,1.73%,-9.36%,-0.60%,36.16%,1.37%,2.89%,3.94%,1.6,1.55M,1.16,43.0,-2.89%,1796423
362,363,HUBB,4.41%,16.50%,36.35%,28.74%,76.35%,36.52%,1.99%,2.09%,2.8,392.05K,2.11,320.38,-0.20%,828246
363,364,HUBS,0.47%,7.02%,30.65%,65.63%,68.86%,79.61%,3.85%,3.55%,1.9,588.29K,1.22,519.32,-0.13%,720542
364,365,HUM,-13.19%,-14.35%,-10.07%,-14.55%,2.87%,-12.99%,3.18%,2.27%,2.0,1.02M,5.19,445.65,-3.92%,5292762
365,366,HWM,0.09%,2.93%,17.27%,17.90%,40.57%,16.67%,1.58%,1.88%,1.9,2.95M,1.01,45.98,-0.13%,2976300
366,367,HZNP,2.40%,1.11%,-6.81%,-10.17%,23.23%,-10.69%,0.82%,0.93%,2.7,2.26M,1.23,101.63,0.32%,2796558
367,368,IBKR,0.60%,7.73%,5.92%,12.64%,41.96%,10.96%,2.91%,2.15%,1.6,948.33K,1.02,80.28,-0.82%,962595
368,369,IBM,1.61%,9.36%,11.15%,-8.26%,0.31%,-2.42%,1.26%,1.46%,2.6,4.89M,1.53,137.48,-0.66%,7468309
369,370,IBN,-0.48%,-0.44%,13.78%,2.74%,28.77%,4.48%,0.87%,0.79%,1.3,4.21M,1.46,22.87,0.00%,6173247
370,371,ICE,1.56%,2.84%,15.13%,7.46%,16.78%,8.86%,1.83%,1.59%,2.0,2.40M,1.59,111.68,-0.62%,3803685
371,372,ICLR,5.49%,11.14%,12.69%,20.19%,13.88%,20.53%,2.39%,2.76%,1.9,616.03K,0.89,234.12,0.21%,551071
372,373,IDXX,7.13%,-0.84%,2.48%,12.32%,44.65%,18.40%,2.52%,2.48%,2.2,390.33K,1.81,483.03,0.33%,706647
373,374,IEP,-0.18%,-19.43%,-45.12%,-44.68%,-43.96%,-44.84%,7.21%,9.16%,1.0,2.77M,1.11,27.94,-2.38%,3081634
374,375,IEX,1.40%,2.42%,-2.78%,-12.07%,16.75%,-8.14%,1.54%,1.77%,2.1,425.79K,2.05,209.75,-0.31%,872664
375,376,IFF,2.70%,-2.33%,-2.91%,-23.93%,-30.99%,-23.36%,2.61%,2.46%,2.3,1.80M,2.8,80.35,1.07%,5049504
376,377,IHG,2.49%,4.61%,9.50%,15.54%,30.22%,22.09%,0.89%,1.29%,1.0,147.60K,0.61,71.23,-0.45%,90758
377,378,ILMN,2.66%,4.25%,-8.32%,-1.96%,6.32%,1.82%,3.58%,3.78%,2.7,1.24M,1.97,205.87,-1.94%,2441990
378,379,IMO,-1.05%,7.80%,10.91%,2.22%,-5.35%,2.03%,2.51%,2.81%,2.5,479.71K,0.88,49.73,-0.66%,424380
379,380,INCY,3.59%,-2.04%,-14.11%,-23.52%,-7.76%,-21.28%,2.02%,1.87%,2.4,1.81M,4.66,63.23,1.04%,8439018
380,381,INFY,2.46%,4.21%,-6.28%,-15.44%,-13.45%,-12.10%,1.70%,1.43%,2.80,11.30M,1.61,15.83,1.34%,18245147
381,382,ING,3.40%,3.00%,19.54%,11.57%,30.10%,10.11%,1.06%,1.15%,2.00,3.82M,0.64,13.4,0.30%,2432514
382,383,INTC,16.05%,25.98%,22.01%,28.70%,-5.90%,37.61%,4.19%,3.97%,3.10,45.64M,2.41,36.37,1.54%,110103134
383,384,INTU,5.44%,5.37%,9.99%,8.62%,20.21%,16.91%,2.94%,3.22%,2.00,1.83M,1.43,455.03,-0.28%,2618104
384,385,INVH,0.32%,2.38%,12.82%,7.47%,0.47%,16.06%,2.10%,1.85%,2.40,2.91M,1.63,34.4,0.17%,4749352
385,386,IOT,-0.28%,44.86%,51.95%,114.23%,153.95%,132.50%,4.87%,6.05%,2.30,3.79M,2.32,28.9,-0.52%,8777117
386,387,IP,0.95%,-0.37%,-6.11%,-13.80%,-27.40%,-7.65%,1.71%,2.02%,3.00,3.19M,2.23,31.98,0.53%,7097952
387,388,IPG,1.03%,7.92%,18.71%,19.70%,42.75%,20.20%,1.95%,2.03%,2.40,4.89M,1.27,40.04,-1.36%,6230899
388,389,IQV,4.56%,11.90%,13.16%,0.84%,6.87%,5.43%,2.42%,2.17%,1.70,1.16M,1.02,216.02,-0.35%,1181617
389,390,IR,3.30%,9.30%,22.99%,17.89%,44.79%,23.48%,1.76%,2.35%,2.20,2.30M,1.94,64.52,-0.29%,4460532
390,391,IRM,1.23%,2.70%,12.87%,3.28%,18.58%,13.86%,1.57%,1.63%,2.20,1.33M,1.79,56.76,-0.70%,2379242
391,392,ISRG,5.31%,6.86%,38.50%,17.36%,67.93%,24.12%,2.00%,2.11%,2.10,1.61M,1.93,329.36,0.33%,3109805
392,393,IT,3.48%,10.28%,17.87%,2.68%,51.24%,6.07%,1.92%,2.13%,2.20,541.20K,2.49,356.54,0.10%,1345885
393,394,ITUB,4.06%,7.54%,35.64%,37.49%,33.90%,27.18%,2.11%,2.18%,2.30,24.95M,0.73,5.9,0.00%,18295547
394,395,ITW,4.41%,8.13%,7.91%,10.60%,33.03%,12.57%,1.70%,1.98%,3.00,1.14M,1.91,247.99,0.48%,2186397
395,396,IX,0.96%,0.43%,11.45%,8.87%,2.90%,10.94%,1.04%,0.92%,-,25.68K,4.27,89.33,-1.36%,109609
396,397,J,0.29%,0.75%,3.10%,-4.90%,-6.50%,-2.91%,1.25%,1.72%,1.70,616.35K,2.07,116.57,0.29%,1273237
397,398,JBHT,3.90%,2.65%,5.48%,-5.65%,9.39%,1.33%,2.66%,2.56%,2.20,700.78K,1.41,176.68,-0.14%,986858
398,399,JBL,11.37%,27.32%,33.43%,45.12%,79.15%,54.49%,3.37%,2.48%,1.90,1.10M,2.1,105.36,0.69%,2298166
399,400,JCI,3.09%,5.65%,14.26%,-1.62%,31.31%,2.30%,1.67%,2.01%,2.10,3.96M,0.99,65.47,-0.27%,3935136
400,401,JD,8.94%,6.72%,2.63%,-31.96%,-38.04%,-29.00%,2.68%,3.21%,1.9,11.71M,0.94,39.85,-0.28%,11044925
401,402,JHX,7.21%,10.70%,37.41%,36.19%,28.07%,53.34%,1.46%,1.59%,1.0,50.41K,0.66,27.51,-0.72%,33427
402,403,JKHY,3.58%,10.32%,11.66%,-9.44%,-8.77%,-6.85%,1.88%,2.03%,2.6,750.55K,0.98,163.54,-1.11%,732858
403,404,JNJ,2.64%,3.30%,7.78%,-8.64%,-3.39%,-7.03%,0.98%,1.18%,2.4,7.04M,1.9,164.23,0.31%,13397390
404,405,JNPR,7.55%,13.02%,3.64%,-1.84%,13.61%,1.60%,2.28%,2.07%,2.6,3.94M,1.55,32.47,0.09%,6112114
405,406,JPM,1.60%,3.47%,13.87%,7.38%,24.13%,6.83%,1.71%,1.60%,2.1,12.65M,1.09,143.26,0.12%,13797886
406,407,K,-1.30%,-4.15%,2.39%,-10.08%,-2.23%,-6.95%,1.79%,1.70%,3.2,2.26M,1.73,66.29,0.53%,3914303
407,408,KB,-1.40%,2.10%,6.24%,-6.20%,-10.38%,-1.78%,1.22%,1.25%,1.0,249.55K,0.79,37.97,-0.94%,196184
408,409,KDP,2.75%,0.16%,-7.72%,-13.85%,-7.69%,-9.79%,1.24%,1.27%,2.4,9.23M,1.68,32.17,1.29%,15542447
409,410,KEYS,2.04%,4.57%,6.25%,-9.90%,19.06%,-3.63%,1.47%,1.54%,2.1,1.12M,1.71,164.86,-0.33%,1926856
410,411,KHC,0.30%,-4.93%,-1.70%,-7.89%,2.24%,-9.14%,1.45%,1.45%,2.7,6.77M,1.81,36.99,0.33%,12246357
411,412,KIM,0.26%,4.80%,10.07%,-11.63%,1.11%,-8.17%,1.78%,2.08%,2.3,4.48M,1.02,19.45,0.36%,4544902
412,413,KKR,3.66%,15.81%,18.08%,15.91%,17.48%,23.22%,2.23%,2.28%,1.8,2.77M,1.67,57.2,-2.41%,4647441
413,414,KLAC,-0.16%,11.53%,19.89%,14.45%,43.58%,23.30%,2.07%,2.86%,2.1,1.08M,1.87,464.89,-1.63%,2010679
414,415,KMB,2.36%,-4.95%,9.82%,-1.02%,12.47%,1.42%,0.94%,1.34%,3.2,1.71M,1.52,137.68,1.00%,2592967
415,416,KMI,0.06%,3.59%,4.67%,-5.91%,-3.18%,-5.75%,1.40%,1.56%,2.8,12.68M,1.89,17.04,0.18%,24016493
416,417,KMX,1.04%,10.67%,41.54%,17.60%,-13.01%,30.78%,2.73%,2.98%,2.6,2.03M,1.14,79.63,-1.51%,2313502
417,418,KO,1.98%,-2.34%,2.75%,-3.63%,3.35%,-3.05%,1.12%,1.14%,2.1,12.98M,2.06,61.67,0.72%,26713400
418,419,KOF,-0.53%,-0.42%,18.12%,31.81%,57.96%,29.85%,1.57%,1.82%,2.2,187.88K,0.46,88.14,-0.23%,85541
419,420,KR,0.00%,-6.25%,-1.30%,3.15%,-9.26%,3.57%,2.40%,2.00%,2.4,5.71M,1.85,46.17,0.50%,10573424
420,421,KVUE,4.58%,-3.56%,-,-,-,-2.42%,1.91%,2.49%,2.60,6.52M,0.36,26.25,1.94%,2332994
421,422,L,-1.30%,0.57%,9.29%,4.12%,-0.58%,0.41%,1.87%,1.68%,3.00,834.43K,3.58,58.57,-0.46%,2987355
422,423,LBRDA,3.63%,-0.25%,-3.53%,-0.10%,-29.90%,0.55%,2.69%,2.61%,2.00,148.37K,0.63,76.27,-0.65%,93636
423,424,LBRDK,3.72%,-0.64%,-3.87%,-0.56%,-32.12%,0.43%,2.69%,2.77%,1.70,788.52K,1.24,76.6,-0.53%,974997
424,425,LCID,4.35%,-10.37%,-15.73%,-15.62%,-63.01%,-5.12%,5.63%,5.65%,2.50,23.06M,1.95,6.48,-1.67%,44962025
425,426,LDOS,3.59%,9.34%,-5.05%,-19.58%,-13.06%,-18.35%,1.69%,1.89%,2.10,1.03M,2.69,85.89,0.76%,2760421
426,427,LECO,2.84%,15.85%,22.01%,34.06%,53.44%,35.60%,1.68%,2.12%,2.30,388.22K,1.72,195.93,-0.08%,666014
427,428,LEGN,3.62%,-1.79%,53.26%,35.06%,60.86%,40.36%,3.52%,3.88%,1.90,884.11K,1.01,70.07,-1.66%,897357
428,429,LEN,5.10%,4.74%,15.96%,32.15%,74.02%,32.62%,2.21%,2.26%,2.40,2.20M,2.08,120.02,0.18%,4573885
429,430,LEN-B,5.34%,4.82%,21.32%,42.31%,81.68%,41.37%,2.48%,2.23%,-,66.94K,2.42,105.72,1.39%,161741
430,431,LH,7.68%,7.92%,9.82%,1.58%,6.99%,-0.51%,2.36%,1.88%,1.90,579.01K,1.82,234.27,1.61%,1053862
431,432,LHX,3.70%,5.24%,0.16%,-10.31%,-13.73%,-6.07%,1.57%,1.74%,2.40,1.07M,1.66,195.57,1.13%,1772134
432,433,LI,8.28%,19.27%,52.32%,69.67%,5.91%,68.68%,3.37%,3.75%,1.70,7.21M,1.0,34.41,-0.15%,7234383
433,434,LII,2.52%,8.50%,27.48%,20.21%,57.59%,30.02%,1.93%,2.38%,2.90,336.90K,1.13,311.04,0.74%,379364
434,435,LIN,4.03%,2.82%,13.56%,9.73%,25.10%,15.06%,1.51%,1.55%,1.90,1.58M,2.77,375.29,-0.31%,4364364
435,436,LKQ,-0.13%,-3.35%,0.35%,0.80%,11.24%,1.54%,1.50%,1.80%,1.80,1.17M,2.25,54.23,-0.53%,2631234
436,437,LLY,0.37%,2.34%,36.01%,23.17%,52.81%,22.38%,1.67%,2.11%,2.00,3.07M,1.4,447.71,-1.37%,4283691
437,438,LMT,-0.76%,0.41%,-1.44%,-5.36%,10.88%,-5.62%,1.35%,1.39%,2.70,1.17M,1.4,459.17,0.71%,1641733
438,439,LNG,1.05%,4.42%,3.34%,-8.90%,13.96%,-0.85%,1.86%,2.36%,1.60,1.57M,1.27,148.68,1.02%,1987540
439,440,LNT,0.96%,1.86%,1.07%,-4.12%,-3.59%,-2.66%,1.25%,1.65%,2.60,1.48M,1.59,53.74,-0.02%,2353284
440,441,LOW,3.81%,4.77%,9.99%,2.34%,21.27%,8.95%,1.78%,2.10%,2.3,2.87M,2.39,217.08,-0.85%,6855455
441,442,LPLA,2.18%,6.87%,6.91%,-2.55%,10.75%,-3.33%,3.65%,2.84%,2.0,931.83K,0.99,208.98,-2.33%,918708
442,443,LRCX,1.00%,6.71%,20.52%,30.84%,35.05%,45.76%,2.46%,2.77%,2.3,1.37M,1.96,612.65,-1.34%,2678036
443,444,LSCC,10.07%,8.49%,-0.89%,21.29%,82.32%,36.65%,4.35%,4.30%,2.2,2.27M,1.32,88.66,-1.10%,2997244
444,445,LSI,1.63%,-1.23%,7.09%,22.58%,21.29%,31.76%,2.29%,2.19%,2.6,1.07M,0.76,129.78,-0.34%,805307
445,446,LSXMA,4.22%,8.16%,17.76%,-24.58%,-15.69%,-21.39%,2.45%,2.62%,1.9,1.11M,0.7,30.9,0.10%,772486
446,447,LSXMK,4.25%,8.42%,18.02%,-24.26%,-15.64%,-21.01%,2.50%,2.59%,2.2,1.15M,0.99,30.91,0.39%,1140794
447,448,LULU,6.28%,2.90%,29.95%,14.91%,34.05%,19.55%,2.19%,2.38%,2.1,1.96M,0.92,383.02,0.10%,1802691
448,449,LUV,11.85%,14.63%,14.05%,-10.20%,-8.00%,1.72%,2.48%,2.28%,2.4,6.91M,1.26,34.25,0.82%,8737060
449,450,LVS,-0.05%,-2.00%,6.88%,19.90%,79.07%,21.59%,1.87%,2.73%,2.1,4.16M,1.17,58.45,-0.36%,4881882
450,451,LW,0.63%,0.63%,17.50%,31.30%,75.58%,27.95%,1.32%,1.65%,2.1,1.30M,1.18,114.34,-0.35%,1529063
451,452,LYB,3.62%,3.45%,8.93%,10.23%,-4.06%,11.09%,2.19%,2.15%,2.8,2.06M,2.01,92.24,0.51%,4144097
452,453,LYG,0.89%,-1.73%,4.13%,0.44%,7.08%,3.18%,1.70%,1.60%,2.0,11.68M,0.73,2.27,-0.87%,8564546
453,454,LYV,7.17%,9.91%,35.94%,23.38%,4.04%,29.31%,2.23%,1.99%,2.1,1.79M,1.74,90.18,-0.18%,3106510
454,455,MA,1.98%,-2.71%,7.68%,5.32%,15.72%,8.28%,1.90%,1.79%,1.8,2.85M,2.06,376.53,-0.66%,5886891
455,456,MAA,0.66%,4.21%,6.88%,-5.58%,-4.38%,-1.08%,1.67%,1.69%,2.7,645.67K,1.85,155.29,0.73%,1196027
456,457,MANH,3.23%,11.39%,33.70%,55.19%,68.82%,58.00%,1.86%,2.16%,2.2,311.57K,2.28,191.81,-0.99%,711363
457,458,MAR,-1.48%,-0.42%,11.08%,10.69%,13.93%,18.45%,1.94%,2.28%,2.7,1.73M,2.73,176.36,-0.18%,4717893
458,459,MAS,2.85%,5.01%,12.53%,10.69%,8.93%,18.92%,2.33%,2.42%,2.5,1.87M,1.87,55.5,-0.93%,3486825
459,460,MBLY,-6.25%,2.33%,-10.14%,10.53%,-,11.69%,3.89%,4.25%,1.8,3.19M,1.15,39.16,-1.43%,3679880
460,461,MCD,2.41%,0.08%,9.92%,6.98%,22.94%,11.45%,1.06%,1.28%,2.0,2.53M,1.93,293.7,0.37%,4885811
461,462,MCHP,6.77%,11.61%,5.92%,12.32%,38.90%,21.69%,2.31%,3.21%,2.1,4.95M,1.86,85.49,0.14%,9202383
462,463,MCK,3.12%,1.31%,19.70%,9.10%,32.02%,8.29%,1.90%,1.96%,1.9,950.71K,1.57,406.2,1.53%,1488747
463,464,MCO,1.90%,10.46%,16.18%,14.86%,30.33%,22.69%,1.95%,1.84%,2.3,746.32K,1.66,341.85,-1.85%,1242615
464,465,MDB,1.44%,34.48%,72.86%,80.35%,49.38%,93.00%,3.75%,4.54%,1.9,1.74M,0.93,379.9,-1.43%,1613136
465,466,MDLZ,0.82%,-4.74%,10.80%,9.38%,24.61%,10.38%,1.09%,1.40%,2.0,6.05M,1.8,73.57,0.15%,10878563
466,467,MDT,6.47%,0.64%,13.87%,13.15%,-0.22%,14.71%,1.68%,1.66%,2.5,6.04M,1.5,89.15,1.02%,9043743
467,468,MELI,-1.14%,-9.50%,-0.53%,37.75%,77.61%,41.18%,3.39%,3.50%,1.8,415.62K,1.87,1194.74,-2.37%,779212
468,469,MET,3.03%,7.35%,1.15%,-23.81%,-10.93%,-23.31%,2.66%,2.60%,2.1,5.99M,1.71,55.5,0.62%,10275175
469,470,META,6.06%,15.88%,43.65%,131.10%,65.93%,133.51%,2.95%,2.76%,1.9,23.53M,1.83,281.0,-0.29%,43001938
470,471,MFC,-1.35%,-1.96%,8.33%,6.45%,9.83%,6.45%,1.51%,1.48%,3.2,3.14M,1.47,18.99,-1.61%,4603642
471,472,MFG,-1.97%,-2.61%,8.36%,20.65%,34.84%,4.93%,1.33%,1.71%,1.0,926.64K,0.35,2.98,-0.67%,325976
472,473,MGA,7.04%,8.99%,13.57%,-4.57%,-4.38%,1.44%,2.36%,2.36%,2.4,1.08M,0.85,56.99,0.41%,915195
473,474,MGM,3.17%,1.07%,3.37%,15.46%,41.85%,27.17%,2.55%,2.51%,2.2,4.37M,1.81,42.64,-2.47%,7900910
474,475,MKC,2.18%,4.36%,27.58%,7.40%,10.65%,11.77%,1.12%,1.53%,2.8,1.47M,1.17,92.65,0.73%,1712860
475,476,MKL,0.11%,-0.33%,12.78%,3.97%,3.42%,1.99%,1.42%,1.75%,1.9,35.42K,1.52,1343.69,0.39%,53665
476,477,MKTX,0.18%,-4.32%,-28.89%,-2.93%,2.63%,-0.62%,3.16%,2.63%,2.8,361.30K,3.34,277.15,-1.09%,1206502
477,478,MLM,-0.17%,4.71%,33.04%,16.64%,33.94%,26.21%,1.39%,1.77%,2.1,359.92K,1.71,426.54,-0.68%,614593
478,479,MMC,1.63%,1.71%,16.27%,5.09%,22.08%,9.47%,1.39%,1.41%,2.7,1.74M,1.64,181.15,0.34%,2850674
479,480,MMM,4.64%,4.35%,1.48%,-17.09%,-22.18%,-12.83%,2.22%,2.84%,3.3,3.54M,1.75,104.54,0.70%,6192663
480,481,MMP,0.07%,-3.10%,14.26%,19.32%,21.68%,19.70%,1.92%,1.61%,2.7,1.51M,3.08,60.1,-0.13%,4657114
481,482,MNST,2.10%,-2.01%,13.51%,14.72%,33.04%,15.14%,1.35%,1.51%,2.2,4.16M,1.85,58.45,-0.60%,7688721
482,483,MO,-2.54%,-2.80%,-2.76%,-6.49%,-3.50%,-3.59%,1.26%,1.25%,2.7,8.22M,1.66,44.07,-0.18%,13649728
483,484,MOH,-2.22%,-5.90%,5.43%,-20.45%,6.79%,-15.81%,3.78%,2.74%,2.5,488.61K,1.56,278.02,-2.04%,763075
484,485,MOS,2.11%,1.67%,-16.87%,-20.70%,-32.83%,-17.92%,3.35%,3.49%,2.8,4.29M,2.85,35.82,1.53%,12257793
485,486,MPC,0.25%,2.40%,-8.39%,2.12%,14.55%,-2.66%,2.53%,2.47%,1.9,4.16M,2.59,113.29,-0.47%,10768231
