,No.,Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,Change,from Open,Gap,Volume
325,326,GLW,1.08,0.79,12.93%,10.52%,8.17%,-4.98%,23.71%,76.56,35.85,5.94%,2.43%,3.43%,21244427
326,327,GM,1.37,1.06,9.99%,11.78%,3.68%,-13.00%,25.16%,69.68,37.96,-0.18%,-0.42%,0.24%,14509190
327,328,GMAB,0.78,0.67,-2.43%,-3.84%,-1.48%,-18.38%,48.03%,41.5,38.77,0.05%,-1.27%,1.34%,600709
328,329,GOLD,0.34,0.39,-2.74%,-9.83%,-2.45%,-19.47%,28.86%,34.67,16.71,1.33%,1.33%,0.00%,21130784
329,330,GOOG,-,2.9,-0.23%,7.87%,21.84%,-4.24%,48.66%,57.49,124.06,-1.38%,-1.99%,0.63%,56622622
330,331,GOOGL,1.08,2.92,-0.12%,8.00%,22.00%,-4.27%,48.22%,57.99,123.53,-1.25%,-1.87%,0.63%,44465949
331,332,GPC,0.91,3.0,2.79%,-1.29%,-3.61%,-13.99%,27.19%,54.55,161.47,-0.11%,-1.22%,1.12%,1381324
332,333,GPN,1.00,2.65,0.07%,-2.85%,-6.39%,-26.45%,9.11%,47.79,100.68,-1.25%,-1.78%,0.54%,3751644
333,334,GRAB,-,0.16,9.07%,11.43%,11.48%,-15.14%,56.16%,62.66,3.42,-0.58%,-0.87%,0.29%,23693368
334,335,GRMN,0.94,1.65,0.91%,3.99%,12.12%,-2.14%,38.80%,57.07,106.0,-0.14%,-0.26%,0.12%,1380234
335,336,GS,1.40,6.62,2.66%,2.39%,-0.60%,-13.16%,21.76%,57.38,338.31,-0.42%,-0.90%,0.48%,4481390
336,337,GSK,0.69,0.52,1.66%,-2.19%,2.70%,-21.45%,23.48%,51.89,35.15,-0.34%,-0.34%,0.00%,5945434
337,338,GWW,1.21,14.78,6.85%,8.32%,19.58%,-1.78%,66.28%,65.77,732.43,-1.54%,-1.59%,0.05%,419238
338,339,H,1.36,3.06,0.10%,-0.43%,10.51%,-9.51%,61.39%,48.19,113.17,0.40%,-0.03%,0.43%,694206
339,340,HAL,2.15,1.17,4.96%,3.73%,-4.21%,-24.97%,39.83%,57.45,32.58,-0.40%,-0.49%,0.09%,10388206
340,341,HBAN,1.09,0.41,1.78%,2.15%,-17.39%,-30.62%,19.60%,53.11,10.92,0.28%,0.09%,0.18%,25608002
341,342,HBANL,-,0.44,0.67%,3.46%,4.54%,-1.27%,46.24%,57.76,24.86,0.12%,-0.48%,0.60%,22085
342,343,HBANP,-,0.67,3.70%,6.57%,2.98%,-11.18%,42.40%,58.42,18.74,-1.11%,-1.94%,0.84%,40466
343,344,HCA,1.64,6.1,6.28%,5.43%,18.92%,-2.29%,76.37%,70.19,290.08,1.47%,0.86%,0.60%,2962332
344,345,HD,0.94,6.12,1.92%,2.37%,0.20%,-13.50%,13.56%,55.76,300.38,-0.54%,-1.30%,0.77%,10795560
345,346,HDB,0.73,1.19,2.13%,-1.24%,0.94%,-7.40%,30.19%,54.22,66.45,2.86%,1.98%,0.87%,2832053
346,347,HEI,1.18,3.64,1.11%,-1.04%,2.29%,-8.14%,30.67%,51.27,165.89,-0.23%,-0.23%,0.00%,278943
347,348,HEI-A,-,2.89,1.55%,-0.49%,3.53%,-7.59%,29.52%,52.38,132.54,-0.15%,-0.30%,0.15%,361767
348,349,HES,1.58,3.94,2.04%,-1.25%,-0.03%,-15.55%,50.06%,52.46,135.56,-0.18%,-0.63%,0.45%,2568214
349,350,HIG,0.85,1.25,2.11%,2.54%,0.76%,-9.52%,19.47%,58.1,71.88,1.15%,0.70%,0.45%,2607683
350,351,HLN,-,0.15,1.89%,-1.93%,11.81%,-6.96%,50.63%,53.14,8.42,0.96%,0.24%,0.72%,2096395
351,352,HLT,1.22,3.04,-0.26%,-1.36%,2.85%,-7.90%,29.89%,47.37,140.81,0.10%,-1.01%,1.12%,2668234
352,353,HMC,0.79,0.56,5.57%,12.57%,24.61%,-3.98%,46.12%,65.36,31.32,-2.13%,-0.63%,-1.50%,2601854
353,354,HOLX,1.00,1.41,2.33%,-0.84%,6.43%,-7.60%,35.83%,56.39,81.2,0.20%,-0.67%,0.88%,4133676
354,355,HON,1.09,3.41,3.13%,3.50%,2.83%,-8.14%,21.81%,62.59,202.97,-0.37%,-0.99%,0.62%,5002796
355,356,HPE,1.29,0.47,14.66%,17.41%,17.92%,0.43%,47.65%,76.09,17.57,0.69%,0.40%,0.29%,24479472
356,357,HPQ,1.02,0.74,2.18%,3.28%,8.72%,-13.29%,28.76%,56.79,31.0,-0.32%,-0.51%,0.19%,13959223
357,358,HRL,0.19,0.65,3.58%,3.15%,-5.88%,-20.16%,9.25%,64.35,41.27,-0.07%,-0.17%,0.10%,3332910
358,359,HSBC,0.60,0.53,3.00%,5.63%,18.44%,-1.13%,58.18%,64.75,39.18,0.33%,0.00%,0.33%,1701440
359,360,HST,1.29,0.41,-0.85%,1.51%,0.11%,-12.61%,17.55%,48.05,17.05,-0.35%,-0.93%,0.58%,9087653
360,361,HSY,0.31,3.8,0.50%,-1.11%,8.77%,-5.84%,29.31%,50.38,260.72,-0.05%,-0.49%,0.44%,1576480
361,362,HTHT,1.04,1.57,5.05%,-2.21%,2.51%,-19.66%,76.37%,52.37,43.0,-2.89%,-2.74%,-0.16%,1796423
362,363,HUBB,1.01,6.27,8.70%,18.98%,31.03%,-0.45%,88.23%,80.06,320.38,-0.20%,-0.52%,0.33%,828246
363,364,HUBS,1.56,18.27,2.45%,12.67%,45.82%,-2.95%,111.94%,61.42,519.32,-0.13%,-1.35%,1.23%,720542
364,365,HUM,0.69,15.27,-11.68%,-13.38%,-12.35%,-21.99%,6.44%,26.47,445.65,-3.92%,-2.05%,-1.91%,5292762
365,366,HWM,1.44,0.87,2.60%,4.41%,16.33%,-1.48%,54.09%,59.92,45.98,-0.13%,-0.80%,0.67%,2976300
366,367,HZNP,1.09,1.32,1.57%,-4.14%,6.75%,-10.72%,75.71%,47.65,101.63,0.32%,-0.25%,0.56%,2796558
367,368,IBKR,0.77,1.87,2.53%,2.32%,4.56%,-10.99%,53.13%,55.36,80.28,-0.82%,-1.32%,0.51%,962595
368,369,IBM,0.86,1.94,4.56%,7.29%,3.54%,-10.27%,18.98%,72.52,137.48,-0.66%,-1.26%,0.60%,7468309
369,370,IBN,0.9,0.24,-0.22%,1.18%,4.42%,-3.71%,33.98%,51.42,22.87,0.00%,-0.57%,0.57%,6173247
370,371,ICE,0.94,1.81,3.34%,3.65%,8.57%,-1.30%,26.05%,61.86,111.68,-0.62%,-1.01%,0.39%,3803685
371,372,ICLR,1.12,6.02,7.38%,12.54%,12.04%,-6.21%,36.57%,70.02,234.12,0.21%,0.03%,0.18%,551071
372,373,IDXX,1.18,11.57,3.36%,1.25%,11.20%,-6.35%,52.35%,57.85,483.03,0.33%,-0.73%,1.07%,706647
373,374,IEP,0.81,2.4,6.47%,-25.49%,-42.48%,-49.35%,54.96%,44.5,27.94,-2.38%,-3.12%,0.77%,3081634
374,375,IEX,0.99,3.78,2.10%,-0.10%,-4.22%,-14.82%,21.82%,54.39,209.75,-0.31%,-0.76%,0.45%,872664
375,376,IFF,1.11,2.18,0.54%,-8.20%,-16.79%,-37.81%,5.57%,45.36,80.35,1.07%,0.45%,0.62%,5049504
376,377,IHG,1.21,1.02,4.19%,3.76%,14.03%,-1.21%,51.36%,64.52,71.23,-0.45%,-0.28%,-0.17%,90758
377,378,ILMN,1.17,7.13,1.22%,-1.93%,-1.95%,-17.28%,18.69%,50.65,205.87,-1.94%,-2.94%,1.03%,2441990
378,379,IMO,1.57,1.43,3.48%,0.49%,-0.40%,-15.69%,24.48%,56.47,49.73,-0.66%,-0.96%,0.30%,424380
379,380,INCY,0.71,1.26,1.17%,-6.41%,-14.42%,-26.72%,4.32%,47.12,63.23,1.04%,0.44%,0.59%,8439018
380,381,INFY,0.96,0.26,1.29%,1.71%,-10.08%,-23.16%,7.60%,54.93,15.83,1.34%,0.51%,0.83%,18245147
381,382,ING,1.58,0.24,3.78%,5.32%,12.88%,-8.97%,64.62%,62.56,13.4,0.30%,-0.30%,0.60%,2432514
382,383,INTC,0.89,1.2,16.89%,17.84%,25.64%,-10.70%,47.91%,72.36,36.37,1.54%,-0.05%,1.59%,110103134
383,384,INTU,1.18,14.32,4.75%,4.75%,10.05%,-7.29%,29.04%,59.42,455.03,-0.28%,-1.35%,1.09%,2618104
384,385,INVH,0.90,0.65,1.59%,3.03%,5.66%,-14.43%,20.62%,57.43,34.4,0.17%,-0.43%,0.61%,4749352
385,386,IOT,-,1.61,20.83%,35.90%,86.72%,-6.50%,243.23%,68.29,28.9,-0.52%,-0.62%,0.10%,8777117
386,387,IP,1.05,0.69,2.72%,-2.86%,-9.32%,-29.21%,10.26%,52.9,31.98,0.53%,0.72%,-0.19%,7097952
387,388,IPG,1.13,0.83,3.32%,6.85%,18.57%,-2.22%,59.27%,61.74,40.04,-1.36%,-1.23%,-0.12%,6230899
388,389,IQV,1.40,4.68,5.98%,9.26%,5.42%,-13.28%,30.33%,69.06,216.02,-0.35%,-1.21%,0.87%,1181617
389,390,IR,1.43,1.37,6.53%,10.79%,19.27%,-0.52%,64.24%,69.16,64.52,-0.29%,-0.74%,0.45%,4460532
390,391,IRM,0.94,0.95,2.98%,3.84%,8.80%,-0.79%,31.13%,62.05,56.76,-0.70%,-0.94%,0.24%,2379242
391,392,ISRG,1.31,6.51,5.63%,10.18%,29.82%,-0.35%,82.91%,73.53,329.36,0.33%,-0.70%,1.04%,3109805
392,393,IT,1.26,7.27,4.45%,10.74%,10.98%,-0.48%,61.05%,72.6,356.54,0.10%,-0.38%,0.48%,1345885
393,394,ITUB,0.72,0.13,8.12%,12.10%,18.56%,-0.17%,59.18%,72.69,5.9,0.00%,1.72%,-1.69%,18295547
394,395,ITW,1.13,4.58,7.60%,7.10%,11.66%,-2.12%,42.92%,70.46,247.99,0.48%,-0.70%,1.20%,2186397
395,396,IX,0.89,1.31,2.26%,3.75%,9.21%,-2.33%,29.89%,57.64,89.33,-1.36%,0.13%,-1.49%,109609
396,397,J,0.84,2.15,1.35%,1.32%,-1.47%,-15.56%,9.17%,54.08,116.57,0.29%,-0.22%,0.52%,1273237
397,398,JBHT,1.13,4.32,3.39%,1.96%,0.54%,-11.94%,14.79%,57.2,176.68,-0.14%,-0.74%,0.60%,986858
398,399,JBL,1.45,2.52,14.92%,24.29%,41.24%,-0.21%,115.90%,86.98,105.36,0.69%,-0.58%,1.27%,2298166
399,400,JCI,1.24,1.31,4.55%,7.97%,7.22%,-5.93%,43.83%,65.08,65.47,-0.27%,-0.27%,0.00%,3935136
400,401,JD,0.5,1.42,11.61%,9.91%,-16.82%,-41.65%,26.25%,63.6,39.85,-0.28%,-2.02%,1.78%,11044925
401,402,JHX,1.42,0.51,8.02%,15.83%,27.80%,-0.90%,59.48%,76.34,27.51,-0.72%,-1.04%,0.32%,33427
402,403,JKHY,0.65,3.28,6.46%,6.08%,-4.87%,-23.08%,17.42%,65.28,163.54,-1.11%,-1.16%,0.05%,732858
403,404,JNJ,0.55,1.91,3.99%,2.03%,-0.59%,-10.43%,9.41%,69.96,164.23,0.31%,-0.15%,0.46%,13397390
404,405,JNPR,0.95,0.67,7.11%,5.86%,6.38%,-5.97%,28.95%,68.46,32.47,0.09%,-0.64%,0.74%,6112114
405,406,JPM,1.08,2.46,3.03%,4.47%,9.35%,-0.75%,41.45%,64.7,143.26,0.12%,0.15%,-0.03%,13797886
406,407,K,0.41,1.16,-1.32%,-2.99%,-4.85%,-14.10%,4.00%,42.69,66.29,0.53%,0.94%,-0.41%,3914303
407,408,KB,0.98,0.63,1.71%,2.69%,0.58%,-21.35%,25.98%,54.93,37.97,-0.94%,-0.73%,-0.21%,196184
408,409,KDP,0.6,0.45,2.14%,-2.53%,-9.67%,-22.13%,4.81%,54.23,32.17,1.29%,1.00%,0.28%,15542447
409,410,KEYS,1.05,2.8,2.31%,7.35%,-0.19%,-12.98%,26.75%,65.69,164.86,-0.33%,-1.07%,0.75%,1926856
410,411,KHC,0.67,0.6,-2.31%,-5.11%,-3.74%,-13.57%,13.02%,36.11,36.99,0.33%,0.46%,-0.14%,12246357
411,412,KIM,1.44,0.41,3.90%,3.77%,-3.73%,-18.27%,12.17%,61.01,19.45,0.36%,0.00%,0.36%,4544902
412,413,KKR,1.54,1.36,7.55%,10.39%,12.23%,-5.50%,36.94%,67.68,57.2,-2.41%,-2.57%,0.17%,4647441
413,414,KLAC,1.35,12.7,2.91%,13.77%,23.61%,-3.59%,85.81%,60.81,464.89,-1.63%,-1.77%,0.15%,2010679
414,415,KMB,0.42,1.82,0.72%,-1.49%,5.36%,-6.89%,26.61%,51.5,137.68,1.00%,0.34%,0.66%,2592967
415,416,KMI,0.92,0.29,2.24%,0.26%,-3.39%,-11.96%,8.02%,55.72,17.04,0.18%,-0.06%,0.24%,24016493
416,417,KMX,1.43,2.39,5.59%,10.78%,15.04%,-25.05%,52.84%,62.77,79.63,-1.51%,-1.89%,0.38%,2313502
417,418,KO,0.55,0.72,1.47%,-1.23%,1.24%,-5.80%,14.17%,54.22,61.67,0.72%,0.00%,0.72%,26713400
418,419,KOF,0.8,1.56,2.15%,2.77%,21.49%,-3.39%,69.65%,59.8,88.14,-0.23%,-0.33%,0.10%,85541
419,420,KR,0.47,1.01,-1.94%,-3.58%,-0.82%,-11.21%,10.41%,43.36,46.17,0.50%,0.50%,0.00%,10573424
420,421,KVUE,-,0.65,2.16%,0.88%,0.88%,-5.56%,6.06%,55.23,26.25,1.94%,1.55%,0.39%,2332994
421,422,L,0.83,1.01,0.64%,1.35%,2.49%,-7.38%,18.66%,52.0,58.57,-0.46%,-1.08%,0.63%,2987355
422,423,LBRDA,1.15,2.06,1.18%,-1.43%,-8.00%,-38.36%,11.91%,50.78,76.27,-0.65%,-1.61%,0.98%,93636
423,424,LBRDK,-,2.14,1.24%,-1.25%,-7.66%,-38.63%,11.55%,50.96,76.6,-0.53%,-1.19%,0.66%,974997
424,425,LCID,-,0.42,-7.03%,-11.16%,-34.35%,-70.25%,6.40%,42.33,6.48,-1.67%,-1.97%,0.30%,44962025
425,426,LDOS,0.79,1.65,5.90%,1.42%,-9.55%,-22.56%,12.16%,61.43,85.89,0.76%,0.36%,0.40%,2760421
426,427,LECO,1.17,3.79,8.57%,14.91%,26.40%,-0.44%,65.80%,76.37,195.93,-0.08%,-0.28%,0.20%,666014
427,428,LEGN,-,2.62,4.69%,8.19%,34.83%,-4.41%,87.86%,59.04,70.07,-1.66%,-2.60%,0.97%,897357
428,429,LEN,1.44,2.68,7.09%,8.09%,26.49%,-0.28%,91.91%,67.77,120.02,0.18%,-0.86%,1.04%,4573885
429,430,LEN-B,-,2.36,7.17%,8.98%,32.90%,1.39%,100.71%,66.68,105.72,1.39%,0.22%,1.17%,161741
430,431,LH,1.05,4.49,7.11%,4.81%,2.02%,-10.97%,16.95%,68.08,234.27,1.61%,0.89%,0.72%,1053862
431,432,LHX,0.73,3.28,6.15%,2.68%,-6.87%,-23.33%,12.04%,66.99,195.57,1.13%,0.90%,0.23%,1772134
432,433,LI,-,1.28,13.46%,27.26%,47.81%,-17.06%,174.86%,77.12,34.41,-0.15%,-0.75%,0.61%,7234383
433,434,LII,0.95,6.87,6.41%,12.16%,22.07%,-0.15%,70.11%,67.42,311.04,0.74%,0.16%,0.58%,379364
434,435,LIN,0.85,5.55,3.58%,3.18%,14.02%,-0.85%,42.98%,64.9,375.29,-0.31%,-0.32%,0.02%,4364364
435,436,LKQ,1.34,0.97,0.10%,-2.42%,-0.24%,-8.60%,17.38%,46.27,54.23,-0.53%,-1.29%,0.77%,2631234
436,437,LLY,0.37,8.89,2.22%,8.05%,24.67%,-1.94%,58.14%,63.53,447.71,-1.37%,-1.83%,0.46%,4283691
437,438,LMT,0.66,6.72,1.13%,-1.14%,-0.25%,-9.63%,22.88%,52.43,459.17,0.71%,0.31%,0.39%,1641733
438,439,LNG,1.00,3.41,3.58%,0.85%,-5.06%,-18.46%,23.81%,56.73,148.68,1.02%,0.46%,0.56%,1987540
439,440,LNT,0.55,0.87,2.60%,-0.12%,-0.90%,-16.84%,13.88%,57.65,53.74,-0.02%,-0.30%,0.28%,2353284
440,441,LOW,1.07,4.47,4.21%,5.38%,7.59%,-2.79%,27.60%,60.63,217.08,-0.85%,-0.89%,0.05%,6855455
441,442,LPLA,0.90,6.4,4.55%,5.46%,-5.82%,-23.04%,23.16%,57.78,208.98,-2.33%,-2.55%,0.22%,918708
442,443,LRCX,1.47,16.92,0.63%,10.73%,29.09%,-4.96%,104.49%,57.61,612.65,-1.34%,-1.76%,0.42%,2678036
443,444,LSCC,1.27,3.78,6.85%,4.21%,22.00%,-8.43%,104.24%,57.35,88.66,-1.10%,-2.70%,1.64%,2997244
444,445,LSI,0.62,2.93,0.51%,-2.70%,10.57%,-11.51%,38.03%,49.33,129.78,-0.34%,-0.76%,0.42%,805307
445,446,LSXMA,1.11,0.82,6.58%,7.93%,-13.48%,-31.73%,23.35%,65.67,30.9,0.10%,0.00%,0.10%,772486
446,447,LSXMK,-,0.81,6.77%,8.30%,-13.11%,-31.62%,23.54%,66.28,30.91,0.39%,0.52%,-0.13%,1140794
447,448,LULU,1.42,9.24,7.41%,4.25%,15.00%,-1.55%,48.00%,64.38,383.02,0.10%,-1.00%,1.11%,1802691
448,449,LUV,1.17,0.79,12.52%,11.75%,0.92%,-17.98%,20.60%,75.74,34.25,0.82%,0.18%,0.65%,8737060
449,450,LVS,1.17,1.6,1.02%,-1.62%,15.74%,-10.87%,91.89%,49.27,58.45,-0.36%,-0.71%,0.36%,4881882
450,451,LW,0.54,1.76,1.70%,2.71%,19.95%,-1.02%,82.59%,58.86,114.34,-0.35%,-0.57%,0.23%,1529063
451,452,LYB,1.20,2.17,3.11%,0.76%,5.40%,-8.94%,29.08%,56.72,92.24,0.51%,0.36%,0.15%,4144097
452,453,LYG,1.29,0.05,0.69%,-2.00%,1.62%,-13.69%,33.53%,50.2,2.27,-0.87%,-0.44%,-0.44%,8564546
453,454,LYV,1.30,1.79,7.88%,18.29%,19.17%,-9.51%,40.36%,79.4,90.18,-0.18%,-1.22%,1.05%,3106510
454,455,MA,1.10,7.13,0.61%,0.52%,7.71%,-4.00%,36.00%,51.98,376.53,-0.66%,-1.33%,0.68%,5886891
455,456,MAA,0.76,2.73,3.71%,3.46%,-0.48%,-18.34%,11.98%,62.62,155.29,0.73%,0.04%,0.69%,1196027
456,457,MANH,1.58,3.76,4.98%,12.29%,35.59%,-1.27%,80.92%,73.2,191.81,-0.99%,-1.38%,0.40%,711363
457,458,MAR,1.57,4.03,0.38%,1.80%,8.51%,-3.80%,34.62%,50.83,176.36,-0.18%,-0.51%,0.33%,4717893
458,459,MAS,1.22,1.32,5.79%,7.38%,10.53%,-3.06%,31.11%,60.87,55.5,-0.93%,-0.96%,0.04%,3486825
459,460,MBLY,-,2.02,-6.84%,-4.72%,5.05%,-18.60%,57.59%,42.24,39.16,-1.43%,-2.37%,0.96%,3679880
460,461,MCD,0.64,3.53,2.05%,1.14%,8.61%,-1.73%,27.37%,60.68,293.7,0.37%,-0.28%,0.65%,4885811
461,462,MCHP,1.57,2.57,8.20%,10.25%,15.48%,-2.59%,57.35%,64.46,85.49,0.14%,-1.10%,1.25%,9202383
462,463,MCK,0.58,7.84,3.42%,7.19%,10.27%,1.10%,35.99%,64.41,406.2,1.53%,0.96%,0.57%,1488747
463,464,MCO,1.3,6.06,5.26%,9.25%,16.77%,-2.33%,48.53%,68.52,341.85,-1.85%,-2.44%,0.60%,1242615
464,465,MDB,1.1,17.07,14.37%,38.29%,73.44%,-4.76%,181.10%,70.88,379.9,-1.43%,-1.55%,0.12%,1613136
465,466,MDLZ,0.65,1.04,-0.80%,-0.77%,10.51%,-6.39%,34.45%,46.75,73.57,0.15%,-0.77%,0.93%,10878563
466,467,MDT,0.73,1.63,4.73%,3.62%,7.32%,-6.75%,17.67%,65.21,89.15,1.02%,0.99%,0.03%,9043743
467,468,MELI,1.55,42.86,-5.07%,-5.80%,12.17%,-12.51%,96.16%,40.93,1194.74,-2.37%,-2.39%,0.02%,779212
468,469,MET,1.08,1.52,5.33%,-0.06%,-15.09%,-28.26%,13.38%,56.29,55.5,0.62%,0.36%,0.25%,10275175
469,470,META,1.19,7.31,6.90%,16.78%,65.85%,-1.05%,218.99%,77.62,281.0,-0.29%,-1.32%,1.04%,43001938
470,471,MFC,1.11,0.32,-0.41%,-1.15%,4.38%,-6.91%,27.28%,46.48,18.99,-1.61%,-1.35%,-0.26%,4603642
471,472,MFG,0.5,0.06,-0.02%,0.54%,9.43%,-9.70%,41.90%,49.35,2.98,-0.67%,-0.33%,-0.33%,325976
472,473,MGA,1.62,1.36,8.71%,8.24%,2.51%,-17.31%,25.03%,68.23,56.99,0.41%,0.48%,-0.07%,915195
473,474,MGM,2.07,1.12,3.00%,-0.10%,10.30%,-8.03%,61.45%,53.1,42.64,-2.47%,-2.34%,-0.14%,7900910
474,475,MKC,0.59,1.41,4.34%,5.51%,14.50%,-0.38%,31.23%,70.32,92.65,0.73%,0.65%,0.08%,1712860
475,476,MKL,0.78,24.14,0.25%,0.11%,4.70%,-7.88%,26.28%,50.79,1343.69,0.39%,-0.29%,0.68%,53665
476,477,MKTX,0.79,7.85,0.10%,-8.01%,-6.99%,-30.67%,27.46%,43.82,277.15,-1.09%,-2.04%,0.96%,1206502
477,478,MLM,0.86,7.58,3.46%,10.45%,20.21%,-0.87%,49.67%,69.59,426.54,-0.68%,-0.77%,0.09%,614593
478,479,MMC,0.92,2.5,2.65%,2.55%,8.40%,-0.70%,26.39%,62.11,181.15,0.34%,-0.11%,0.45%,2850674
479,480,MMM,0.97,2.67,5.28%,2.77%,-7.81%,-31.36%,13.16%,59.25,104.54,0.70%,0.13%,0.57%,6192663
480,481,MMP,0.89,1.16,-1.83%,3.42%,12.93%,-6.71%,34.18%,51.43,60.1,-0.13%,0.33%,-0.47%,4657114
481,482,MNST,0.85,0.9,0.18%,2.99%,14.66%,-3.33%,37.06%,53.83,58.45,-0.60%,-1.20%,0.61%,7688721
482,483,MO,0.62,0.65,-1.79%,-3.21%,-2.76%,-10.04%,9.22%,39.53,44.07,-0.18%,-0.27%,0.09%,13649728
483,484,MOH,0.68,8.68,-1.75%,-3.44%,-10.21%,-25.66%,11.31%,45.28,278.02,-2.04%,-2.31%,0.27%,763075
484,485,MOS,1.51,1.37,3.42%,-8.39%,-23.30%,-42.99%,13.93%,49.02,35.82,1.53%,1.04%,0.48%,12257793
485,486,MPC,1.63,3.15,2.72%,-2.55%,-2.54%,-18.40%,45.95%,52.8,113.29,-0.47%,-0.68%,0.20%,10768231
486,487,MPLX,1.4,0.37,0.86%,-0.42%,1.70%,-3.66%,24.05%,55.74,34.07,0.50%,-0.35%,0.86%,4238976
