,No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
0,1,A,35.81B,26.67,19.80,2.29,5.09,6.20,-,38.67,6.10%,9.02%,14.80%,11.66%,8.90%,121.13,-0.08%,3939930
1,2,AAL,10.87B,6.24,5.09,-,0.21,-,0.95,-,106.30%,11.19%,-46.10%,-,2.80%,16.48,-1.02%,22625167
2,3,AAPL,2925.70B,31.42,28.20,3.95,7.60,46.93,52.36,35.44,8.90%,9.78%,21.60%,7.96%,11.50%,184.92,-0.59%,95747006
3,4,ABBV,239.75B,32.71,12.52,-,4.23,18.49,35.67,17.97,2.70%,0.98%,13.30%,-4.10%,15.50%,138.64,2.02%,14593437
4,5,ABC,36.83B,23.51,14.40,2.96,0.15,131.66,-,17.95,8.90%,7.20%,37.40%,7.95%,9.30%,183.01,0.62%,2000327
5,6,ABEV,49.75B,16.01,16.26,2.25,2.93,2.76,19.02,-,14.20%,11.80%,14.70%,7.10%,10.70%,3.09,-1.28%,20356797
6,7,ABNB,81.75B,42.88,32.08,2.28,9.39,15.41,7.72,21.57,588.10%,16.09%,91.50%,18.80%,26.80%,128.68,0.65%,6883826
7,8,ABT,182.62B,32.19,22.99,-,4.40,5.00,19.16,52.84,-0.60%,5.05%,30.50%,-2.70%,9.80%,106.2,1.12%,10012623
8,9,ACGL,26.13B,13.71,10.38,0.76,2.44,1.99,32.54,6.26,-27.30%,9.45%,22.00%,17.95%,11.60%,71.16,1.44%,3296161
9,10,ACGLN,26.50B,4.18,-,-,2.44,0.55,-,-,-,-,-,-,-,19.63,-0.10%,28769
10,11,ACI,12.19B,9.49,7.49,1.19,0.16,7.17,26.75,11.51,-16.10%,2.07%,29.60%,8.00%,5.30%,21.37,0.61%,13976210
11,12,ACM,12.00B,28.58,19.79,2.03,0.89,4.64,11.18,29.53,38.50%,18.38%,5.00%,14.06%,-6.30%,86.67,0.42%,2080228
12,13,ACN,204.47B,29.41,25.42,3.27,3.24,8.48,32.75,31.63,17.00%,8.37%,14.50%,9.00%,11.20%,319.54,-1.31%,5259178
13,14,ADBE,225.18B,47.28,27.87,3.36,12.22,16.00,39.83,30.45,0.70%,13.31%,24.50%,14.07%,19.20%,495.18,0.87%,13324076
14,15,ADI,95.10B,26.69,18.66,4.47,7.39,2.64,80.76,40.46,51.60%,-4.09%,18.10%,5.97%,18.00%,188.36,-0.69%,6886920
15,16,ADM,40.61B,9.47,11.46,-,0.40,1.67,45.17,56.09,61.30%,-4.41%,29.40%,-0.60%,10.80%,75.48,1.23%,5522403
16,17,ADP,91.29B,28.27,24.77,2.07,5.17,24.78,49.22,59.30,15.40%,9.38%,12.00%,13.68%,5.90%,221.32,0.16%,3335514
17,18,ADSK,47.32B,55.38,25.50,3.85,9.27,51.20,22.21,20.44,68.60%,14.92%,48.50%,14.38%,19.50%,213.5,-3.58%,3287110
18,19,AEE,22.05B,20.16,17.96,3.42,2.71,2.08,2205.17,-,7.70%,7.19%,8.30%,5.90%,5.20%,84.08,0.13%,2812984
19,20,AEG,10.29B,-,7.73,-,-,0.65,2.76,3.38,-213.00%,-3.10%,-20.10%,-2.50%,-,4.79,-2.44%,1361677
20,21,AEM,24.80B,10.02,22.66,-,4.19,1.21,32.89,-,-33.40%,2.27%,8.10%,-6.38%,20.70%,51.0,1.15%,3136496
21,22,AEP,43.70B,21.99,15.12,4.23,2.21,1.84,81.20,-,-9.40%,6.54%,3.30%,5.20%,4.90%,84.93,0.06%,5314597
22,23,AER,14.63B,8.67,6.70,0.84,2.16,0.91,13.44,22.71,-145.00%,4.60%,-19.70%,10.30%,7.10%,61.2,-0.67%,1192506
23,24,AES,14.38B,-,11.11,-,1.11,9.97,6.36,-,-31.80%,11.75%,-2.90%,7.10%,3.70%,21.34,-0.70%,12276062
24,25,AESC,14.28B,-,-,-,1.1,36.47,-,-,-,-,-,-,-,83.04,-0.29%,49825
25,26,AFL,42.15B,10.04,11.39,2.28,2.21,2.14,11.07,17.94,3.10%,4.56%,14.50%,4.40%,-2.10%,69.43,-0.47%,5584958
26,27,AGR,14.98B,21.98,16.67,4.23,1.81,0.77,208.04,-,15.40%,6.18%,67.80%,5.20%,5.80%,38.66,-0.18%,893338
27,28,AIG,40.98B,7.47,7.40,0.51,0.8,0.99,21.31,11.11,20.20%,16.73%,81.60%,14.70%,2.60%,57.3,1.20%,10315800
28,29,AJG,45.76B,39.69,21.74,3.64,5.19,4.63,29.52,30.42,18.60%,11.99%,12.80%,10.90%,6.50%,213.78,0.07%,1553878
29,30,AKAM,14.01B,28.92,14.52,3.61,3.86,3.41,18.64,19.03,-17.00%,9.60%,17.80%,8.00%,7.80%,91.5,-0.62%,3710643
30,31,ALB,27.10B,7.32,10.53,0.15,3.09,2.90,17.08,34.21,5.40%,-6.41%,43.50%,47.94%,19.00%,228.17,-1.19%,2347804
31,32,ALC,39.97B,116.10,26.39,6.93,4.5,2.02,-,-,18.30%,16.20%,7.11%,16.76%,-,81.27,0.47%,929124
32,33,ALGN,25.50B,81.73,33.17,1.89,6.88,7.30,28.84,54.31,-52.40%,19.95%,3.60%,43.25%,20.40%,330.29,-0.87%,1257852
33,34,ALL,29.06B,-,8.60,-,0.55,1.89,43.89,7.26,-130.80%,585.68%,-21.60%,-5.40%,5.40%,111.17,0.57%,3777524
34,35,ALLE,10.46B,21.38,16.62,1.98,3.01,10.00,35.73,36.98,-2.80%,6.77%,8.90%,10.80%,6.30%,118.43,-0.43%,2881474
35,36,ALNY,25.20B,-,-,-,22.04,-,12.17,-,-29.10%,59.90%,-11.40%,-,63.10%,201.57,-0.38%,847459
36,37,AMAT,117.66B,18.32,19.74,1.49,4.42,8.29,23.08,23.41,16.10%,-4.78%,18.00%,12.33%,11.90%,138.93,-0.84%,8842976
37,38,AMCR,15.13B,15.85,13.95,11.83,1.01,3.58,26.82,-,-12.20%,1.92%,1.80%,1.34%,9.80%,10.35,0.68%,19427395
38,39,AMD,200.07B,498.26,28.52,50.48,8.67,3.54,33.69,79.42,-67.30%,47.34%,21.90%,9.87%,35.10%,120.08,-3.35%,81648013
39,40,AME,36.11B,30.20,23.75,3.02,5.74,4.63,90.31,36.37,17.80%,7.48%,14.50%,10.00%,7.40%,155.91,-0.50%,1748880
40,41,AMGN,122.06B,15.60,12.19,9.05,4.66,22.94,3.87,37.24,17.80%,5.76%,2.00%,1.72%,2.90%,229.66,0.53%,6760699
41,42,AMH,12.78B,40.32,72.24,1.41,8.34,1.87,49.98,-,72.50%,-23.20%,60.10%,28.50%,9.20%,35.4,0.28%,4753384
42,43,AMP,33.92B,16.51,9.82,1.55,2.33,8.46,3.97,7.82,-2.10%,9.69%,14.80%,10.66%,3.30%,325.0,-0.18%,936930
43,44,AMT,90.54B,64.23,39.18,6.13,8.37,16.61,50.22,-,-32.60%,22.22%,7.40%,10.48%,10.00%,192.89,-0.71%,3281162
44,45,AMX,70.29B,14.75,11.78,1.22,1.42,3.62,9.00,-,24.20%,11.30%,24.10%,12.07%,-3.70%,22.02,-0.90%,1114980
45,46,AMZN,1304.19B,304.59,48.64,-,2.48,8.32,20.25,-,-108.20%,63.60%,-26.00%,-,23.60%,125.49,-1.27%,83469181
46,47,ANET,50.39B,32.83,23.38,3.29,10.38,9.09,15.13,81.97,62.30%,10.78%,23.30%,9.98%,21.60%,157.79,-3.47%,4497419
47,48,ANSS,29.19B,52.83,34.56,6.37,13.58,6.08,57.47,44.59,16.00%,11.64%,13.60%,8.30%,13.50%,334.37,-0.72%,886679
48,49,AON,67.62B,26.42,20.35,2.90,5.33,-,8.09,27.24,118.80%,12.68%,33.60%,9.10%,4.50%,329.38,-0.51%,1463286
49,50,AOS,10.61B,45.51,19.17,5.69,2.83,5.99,21.39,42.72,-49.90%,6.65%,-6.90%,8.00%,4.60%,71.0,0.69%,1763806
50,51,APA,10.70B,5.56,5.52,-,1.03,24.04,69.47,9.90,325.20%,31.98%,24.40%,-2.00%,13.50%,34.38,-0.84%,9091358
51,52,APD,64.59B,30.14,23.22,3.21,4.92,4.64,25.69,-,10.60%,10.82%,14.30%,9.38%,9.20%,293.17,0.83%,1809753
52,53,APH,48.74B,26.57,25.70,3.56,3.85,6.69,32.52,33.15,22.10%,10.62%,13.10%,7.47%,12.50%,82.15,0.34%,3715840
53,54,APLS,10.43B,-,-,-,98.53,24.66,-,-,30.50%,46.00%,-42.80%,33.30%,-,89.27,-0.37%,2001521
54,55,APO,43.91B,-,9.87,-,3.3,5.58,2.77,5.62,-173.20%,18.55%,-26.50%,3.94%,28.60%,77.08,-0.40%,4105090
55,56,APTV,27.40B,45.55,16.73,1.39,1.51,3.06,24.91,46.44,0.80%,39.20%,-13.30%,32.70%,6.30%,101.44,0.16%,3239850
56,57,ARCC,10.17B,14.71,8.38,-,4.47,1.01,-,-,13.90%,-3.00%,5.28%,-0.90%,-,18.68,0.16%,8978360
57,58,ARE,20.96B,25.36,29.30,-,7.84,1.04,16.59,-,-16.90%,17.26%,15.00%,-10.96%,18.10%,115.45,-4.70%,2916077
58,59,ARES,28.48B,84.01,18.55,3.17,9.03,10.12,27.72,-,-57.30%,35.43%,7.10%,26.50%,15.60%,94.43,-0.88%,1798428
59,60,ARGX,21.99B,-,-,-,36.26,196.85,10.03,-,-63.20%,41.20%,-62.80%,35.00%,62.40%,399.94,0.99%,187463
60,61,ARMK,10.48B,42.89,16.85,1.11,0.59,3.32,34.63,-,286.00%,38.46%,-12.80%,38.61%,2.30%,40.53,0.77%,3285311
61,62,ASML,297.31B,37.87,29.73,1.27,11.14,26.59,40.83,40.47,-1.40%,18.70%,24.20%,29.80%,18.80%,721.88,-2.28%,1336013
62,63,ASX,18.00B,10.65,10.17,-,0.84,2.15,8.07,-,-1.90%,33.80%,21.20%,-3.70%,18.20%,8.85,-1.01%,6981151
63,64,ATO,16.98B,20.10,18.23,2.58,3.72,1.65,178.31,107.85,9.40%,6.26%,9.20%,7.80%,8.80%,117.0,-0.42%,1510044
64,65,ATVI,64.03B,34.88,19.23,2.91,7.86,3.20,5.1,31.36,-44.30%,7.14%,10.10%,12.00%,1.40%,81.97,0.64%,12232423
65,66,AU,10.37B,34.17,-,1.82,2.3,2.48,9.36,185.25,-52.30%,-,28.70%,18.81%,0.00%,24.16,-1.63%,4446923
66,67,AVB,27.05B,26.41,38.01,-,10.19,2.41,106.3,-,13.00%,3.67%,5.10%,-9.83%,3.70%,192.45,1.01%,1635482
67,68,AVGO,364.58B,27.16,19.26,2.56,10.4,16.37,31.56,37.49,76.80%,7.56%,45.80%,10.60%,13.50%,868.11,-1.73%,6824997
68,69,AVTR,13.43B,22.22,13.57,5.36,1.83,2.70,45.6,17.36,15.10%,14.13%,30.70%,4.14%,43.20%,19.95,0.25%,8557076
69,70,AVY,13.65B,20.59,16.43,2.63,1.56,6.78,38.85,48.71,4.30%,16.18%,12.80%,7.82%,6.40%,171.09,1.19%,921733
70,71,AWK,28.82B,32.74,29.08,3.95,7.41,2.90,135.33,-,-35.10%,7.31%,7.90%,8.28%,2.50%,148.98,0.60%,2040747
71,72,AXON,14.93B,107.47,54.63,3.12,11.7,10.48,13.66,170.65,323.70%,18.11%,52.60%,34.40%,28.20%,202.36,0.13%,3199447
72,73,AXP,129.18B,18.04,13.81,1.20,2.23,4.92,3.22,9.62,-1.80%,12.02%,10.70%,15.00%,7.60%,172.21,-0.92%,4613584
73,74,AZN,229.31B,49.88,17.62,3.78,5.23,6.51,35.49,144.13,11.10%,15.40%,2.30%,13.20%,14.60%,75.22,0.80%,4899807
74,75,AZO,45.34B,19.60,17.09,1.97,2.65,-,164.92,19.15,23.10%,11.46%,21.60%,9.95%,8.30%,2493.83,-0.14%,417251
75,76,AZPN,10.82B,-,26.44,-,11.24,0.83,37.74,80.76,-72.20%,10.05%,-11.10%,15.30%,-3.90%,167.33,0.31%,488136
76,77,BA,132.00B,-,42.06,-,1.87,-,8.94,26.04,-16.20%,463.20%,-22.00%,-,-6.70%,219.99,0.26%,7771621
77,78,BABA,238.57B,23.71,9.94,2.93,1.96,1.71,3.24,-,20.80%,10.80%,2.30%,8.09%,28.30%,92.1,-0.11%,24987197
78,79,BAC,234.05B,8.80,8.76,2.62,2.65,0.93,0.22,11.36,-10.80%,-1.62%,12.90%,3.36%,4.70%,29.19,-0.61%,51849290
79,80,BAH,14.05B,53.58,19.74,5.50,1.52,14.42,34.69,46.10,-40.90%,11.17%,0.60%,9.75%,8.50%,108.61,1.15%,1171995
80,81,BALL,17.14B,41.15,16.72,13.27,1.13,5.05,29.96,-,-14.00%,13.62%,11.90%,3.10%,6.90%,58.43,7.23%,11536699
81,82,BAM,13.96B,6.61,20.75,0.56,3.56,1.44,4.43,-,0.10%,17.09%,-,11.80%,-,33.26,-1.77%,2063425
82,83,BAP,14.01B,8.87,2.11,2.24,3.11,1.42,1.25,-,29.20%,5.95%,2.50%,3.96%,6.40%,149.29,0.60%,610284
83,84,BATRA,30.69B,-,344.42,-,51.49,9.57,142.72,1058.12,-212.20%,146.20%,8.30%,45.10%,8.80%,41.33,-0.12%,184625
84,85,BATRK,30.28B,-,-,-,50.81,9.21,-,-,45.50%,97.20%,-,-,-,39.73,-0.95%,250946
85,86,BAX,22.49B,-,13.64,-,1.49,3.9,13.44,117.14,-291.00%,13.48%,-33.50%,1.75%,7.40%,45.36,2.02%,7916070
86,87,BBD,34.76B,10.32,6.88,6.45,0.44,0.23,-,-,-5.10%,37.80%,-12.38%,1.60%,-,3.51,-0.28%,21857921
87,88,BBVA,43.97B,6.55,6.96,0.16,1.12,0.86,0.17,2.09,57.40%,-,15.30%,40.10%,1.40%,7.45,0.81%,1079221
88,89,BBY,17.23B,13.49,11.65,3.97,0.38,6.25,16.73,14.78,-36.10%,12.74%,8.50%,3.40%,1.90%,79.79,1.03%,6434063
89,90,BCE,41.39B,21.50,13.66,6.99,2.25,3.04,73.86,-,-0.30%,3.88%,-1.40%,3.08%,1.20%,45.7,0.64%,1814152
90,91,BCH,10.73B,6.15,11.61,1.84,1.85,1.81,1.11,-,77.80%,-23.10%,19.80%,3.34%,18.70%,21.25,0.24%,440888
91,92,BCS,30.29B,4.74,-,-,1.26,0.35,0.02,-,-16.40%,-,53.90%,-0.60%,7.00%,7.93,0.13%,8804747
92,93,BDX,72.75B,47.54,18.96,4.83,3.87,2.86,36.61,559.64,3.70%,11.76%,3.10%,9.85%,9.30%,258.63,0.96%,1481696
93,94,BEKE,20.09B,75.47,16.49,1.15,2.09,1.99,2.43,16.00,-163.00%,19.80%,1.80%,65.49%,18.90%,16.98,-0.59%,7937395
94,95,BEN,13.67B,16.24,10.62,-,1.74,1.12,3.20,19.22,-29.20%,8.32%,-3.40%,-3.87%,5.30%,26.97,-1.21%,3236943
95,96,BF-A,31.60B,41.05,-,-,7.47,9.81,-,-,-,-,-,-,-,66.91,-0.93%,351009
96,97,BF-B,31.64B,40.12,29.03,4.53,7.48,10.32,73.93,-,-7.20%,9.16%,4.90%,8.85%,5.60%,65.4,0.31%,2667339
97,98,BG,14.19B,9.46,8.42,-,0.21,1.45,3.73,-,-21.60%,-1.82%,56.30%,-8.30%,8.00%,96.43,2.37%,2803253
98,99,BGNE,19.63B,-,-,-,12.61,5.02,5.12,-,-23.70%,29.90%,-55.10%,-,42.80%,200.21,-0.41%,550005
99,100,BHP,159.16B,8.79,-,-,2.64,3.75,15.79,54.41,75.50%,-,27.30%,-8.90%,12.70%,63.17,-1.27%,2867132
100,101,BIDU,51.99B,26.74,13.07,1.79,2.93,1.57,2.03,-,-29.30%,11.60%,-17.70%,14.91%,7.80%,145.11,-2.42%,2842350
101,102,BIIB,43.11B,13.82,18.12,5.53,4.27,3.11,8.55,30.34,100.60%,6.32%,3.70%,2.50%,-3.70%,297.48,-0.12%,1914252
102,103,BILL,12.17B,-,62.54,-,12.64,2.89,4.57,177.08,-169.10%,20.61%,-,-,-,111.26,-2.80%,2161262
103,104,BIO,11.18B,-,23.43,-,4.02,1.14,6.04,88.27,-186.50%,17.12%,27.25%,17.80%,5.30%,376.56,-0.66%,513109
104,105,BIP,16.79B,442.62,43.29,13.10,1.1,2.57,7.52,-,-86.20%,46.33%,54.70%,33.80%,32.50%,35.41,-3.30%,499307
105,106,BK,35.41B,14.12,8.58,2.13,3.44,1.00,0.20,3.25,-30.10%,8.59%,-0.90%,6.64%,10.20%,44.65,-0.49%,12628224
106,107,BKNG,98.67B,25.89,16.3,1.02,5.43,92.50,6.81,13.33,171.10%,18.05%,0.50%,25.45%,6.10%,2640.99,-1.15%,828632
107,108,BKR,30.61B,-,14.96,-,1.39,2.10,8.70,61.23,-129.10%,35.10%,-4.90%,43.80%,4.20%,30.57,1.09%,12498282
108,109,BLDR,15.77B,7.83,12.98,0.42,0.75,3.57,109.18,4.29,98.30%,-1.86%,95.70%,18.80%,26.40%,121.41,-1.30%,7814256
109,110,BLK,106.51B,21.79,17.49,2.20,6.12,2.79,18.87,70.21,-11.10%,14.73%,8.10%,9.92%,5.60%,702.78,-1.18%,1280969
110,111,BMO,63.96B,11.86,6.79,2.61,2.05,1.17,0.26,12.34,72.60%,5.44%,20.40%,4.55%,9.10%,90.21,0.55%,489824
111,112,BMRN,17.99B,258.84,33.7,4.46,8.28,3.86,15.61,825.18,301.40%,187.71%,30.20%,58.00%,9.80%,96.29,0.47%,1423791
112,113,BMY,135.86B,19.28,8.12,5.14,2.96,4.36,14.66,21.11,-5.40%,1.33%,4.50%,3.75%,17.30%,66.16,2.30%,19344176
113,114,BN,54.79B,81.80,9.41,2.62,0.58,1.32,4.20,-,-50.60%,23.84%,5.80%,31.17%,17.90%,33.54,0.27%,2642681
114,115,BNS,60.11B,9.80,6.59,-,1.69,1.14,0.19,-,4.20%,5.71%,4.30%,-0.90%,7.00%,50.16,-0.59%,1147773
115,116,BNTX,27.23B,4.15,32.07,-,2.04,1.23,1.99,2.92,-4.70%,-33.40%,152.10%,-,208.90%,112.55,-0.40%,663599
116,117,BP,102.73B,3.95,6.23,-,0.41,1.47,3.33,4.41,-109.20%,-2.90%,-16.70%,-,0.10%,35.35,-0.08%,6858310
117,118,BR,18.84B,34.45,21.31,2.92,3.17,9.47,56.82,113.84,-2.10%,8.77%,11.00%,11.80%,6.60%,160.8,0.69%,1159028
118,119,BRK-A,745.30B,98.77,19.41,-,2.35,1.48,27.86,32.40,10.40%,14.45%,11.74%,-14.50%,4.70%,514000.0,-0.46%,6534
119,120,BRK-B,739.57B,-,18.91,-,2.34,-,-,-,13.20%,13.10%,9.41%,23.30%,-,338.31,-0.44%,8461113
120,121,BRKR,11.05B,35.94,26.02,1.47,4.22,9.39,-,92.74,9.50%,12.40%,16.50%,24.40%,7.50%,75.48,0.19%,1553683
121,122,BRO,18.73B,27.38,23.85,2.07,4.95,3.81,32.71,28.39,14.30%,9.76%,19.70%,13.22%,13.70%,66.25,0.30%,1946063
122,123,BSBR,23.84B,16.9,8.19,2.17,0.95,2.04,0.37,-,-7.60%,27.90%,10.10%,7.80%,10.00%,6.39,-0.16%,989826
123,124,BSX,77.61B,92.7,24.55,7.62,5.95,4.37,136.15,64.83,-35.10%,13.37%,-8.40%,12.17%,7.00%,54.32,0.63%,13015827
124,125,BSY,15.85B,103.68,53.88,-,13.93,27.05,169.32,54.72,84.80%,15.40%,19.30%,-1.90%,11.80%,53.29,-1.35%,1724131
125,126,BTI,73.01B,8.72,-,0.74,2.07,0.77,14.19,12.42,1.70%,-,-26.40%,11.80%,7.20%,32.82,-0.15%,4818460
126,127,BTO,46.60B,88.16,99.15,-,19.15,7.43,52.31,182.75,-40.30%,-7.87%,32.70%,-,22.10%,27.86,1.90%,143247
127,128,BUD,99.87B,15.99,15.69,1.44,1.7,9.42,9.92,-,27.50%,19.30%,-6.00%,11.10%,0.50%,58.21,-0.61%,3547631
128,129,BWA,11.32B,11.91,8.33,0.84,0.7,1.52,11.91,24.71,77.80%,17.18%,3.40%,14.19%,10.00%,48.6,0.66%,4733941
129,130,BX,112.79B,110.19,15.20,9.69,23.63,9.59,37.33,-,-71.00%,36.64%,-2.80%,11.37%,3.60%,91.13,-1.64%,5652892
130,131,C,94.53B,6.62,7.57,-,1.04,0.50,0.09,-,-29.90%,2.65%,5.50%,-6.65%,3.90%,48.19,-0.76%,18204030
131,132,CAG,16.59B,20.68,12.10,2.52,1.36,1.87,233.03,115.06,-30.80%,4.57%,8.40%,8.21%,8.10%,34.64,-0.43%,4595105
132,133,CAH,22.70B,52.2,13.84,3.87,0.11,-,5.69,5.66,-260.90%,14.94%,-23.10%,13.48%,6.90%,91.25,2.34%,5132748
133,134,CARR,38.85B,15.89,16.78,1.61,1.85,4.81,11.61,33.38,119.60%,8.38%,23.70%,9.87%,2.80%,46.88,0.73%,9582853
134,135,CAT,127.64B,18.13,13.47,1.41,2.07,6.98,18.80,32.80,7.50%,1.27%,19.40%,12.87%,5.50%,245.27,-0.97%,5209376
135,136,CB,79.21B,15.66,9.65,1.26,1.78,1.52,34.62,8.19,-34.90%,11.10%,11.60%,12.40%,6.00%,194.94,1.92%,3376661
136,137,CBOE,14.58B,49.32,18.22,9.56,3.67,4.11,28.26,97.58,-55.40%,4.71%,2.80%,5.16%,12.20%,137.36,-0.52%,1108959
137,138,CBRE,24.45B,22.37,13.49,2.03,0.79,3.07,19.86,24.47,-20.60%,19.71%,11.70%,11.00%,10.60%,77.81,-1.09%,3406437
138,139,CCEP,30.11B,18.13,15.34,2.06,1.59,3.66,16.74,-,53.20%,9.20%,9.80%,8.79%,9.40%,65.35,-0.41%,1962455
139,140,CCI,50.69B,29.75,32.92,-,7.22,6.87,271.08,-,44.60%,-7.89%,35.60%,-4.38%,10.40%,114.61,-1.95%,3981529
140,141,CCJ,13.70B,105.51,19.78,-,8.4,3.05,7.32,111.72,185.10%,56.68%,19.10%,-,-2.80%,31.76,0.38%,4296991
141,142,CCK,10.42B,17.50,12.08,2.76,0.82,5.21,25.85,-,254.00%,16.51%,9.70%,6.35%,8.30%,88.81,2.37%,20478600
142,143,CCL,20.03B,-,18.94,-,1.34,3.22,-,-,39.00%,396.40%,-28.00%,-,-7.00%,15.8,-1.99%,50985481
143,144,CDAY,10.51B,-,41.46,-,7.94,4.71,24.52,296.91,4.30%,32.51%,17.70%,40.63%,13.20%,67.08,-1.06%,2256607
144,145,CDNS,64.84B,75.52,41.25,4.31,17.61,21.62,70.71,62.31,23.70%,13.73%,51.80%,17.54%,12.90%,235.84,-0.81%,5005890
145,146,CDW,24.02B,22.32,17.10,1.54,1.05,15.4,85.96,26.47,15.60%,9.67%,23.50%,14.54%,9.90%,178.15,-0.03%,1527771
146,147,CE,12.71B,8.34,8.15,2.43,1.27,2.19,-,23.66,2.10%,26.13%,20.50%,3.44%,9.50%,114.0,-2.40%,2258082
147,148,CEG,30.32B,-,17.46,-,1.15,2.84,127.93,-,22.30%,36.83%,-,30.80%,-,92.89,-0.61%,4961890
148,149,CELH,11.11B,-,63.83,-,14.25,136.26,18.66,147.41,150.20%,70.92%,-68.50%,-,78.40%,144.44,-0.21%,861068
149,150,CF,13.66B,4.76,9.94,-,1.32,2.56,4.84,5.19,286.30%,-19.89%,98.50%,-,22.10%,71.27,1.70%,5873223
150,151,CFG,13.40B,6.55,6.39,7.71,1.62,0.6,1.51,4.88,-20.50%,-0.35%,9.60%,0.85%,7.50%,27.26,-1.55%,11758540
151,152,CFLT,10.21B,-,242.59,-,16.11,13.6,5.52,-,-28.10%,182.40%,-,-,-,34.69,0.58%,7960687
152,153,CG,11.45B,15.25,7.84,-,3.08,1.84,9.24,-,-59.20%,39.56%,-0.90%,-3.59%,3.80%,31.38,-0.73%,3510520
153,154,CHD,23.41B,57.44,28.58,7.36,4.25,6.39,115.43,41.83,-49.30%,8.51%,-1.80%,7.81%,7.30%,96.16,0.33%,1825099
154,155,CHDN,10.21B,18.92,16.39,0.63,5.09,14.57,58.72,187.36,81.20%,32.30%,53.40%,30.00%,15.40%,136.39,-0.95%,642757
155,156,CHK,10.91B,1.73,12.59,-,0.79,1.08,83.96,10.83,-38.70%,38.44%,17.50%,-13.86%,3.70%,82.36,1.02%,1056924
156,157,CHKP,15.75B,19.86,14.88,3.11,6.69,5.46,9.34,13.58,3.70%,9.66%,5.50%,6.39%,4.70%,130.91,0.35%,1587270
157,158,CHRW,11.11B,15.25,20.14,19.93,0.49,8.13,46.44,7.39,17.30%,14.11%,16.20%,0.77%,10.70%,94.62,-0.78%,1840603
158,159,CHT,31.75B,26.37,-,18.84,0.14,0.32,-,-,-,-,-1.26%,1.40%,-,40.88,-0.29%,138395
159,160,CHTR,51.63B,11.18,8.74,0.68,0.95,5.49,96.68,11.18,25.60%,20.00%,62.10%,16.36%,5.40%,341.24,-0.47%,1720985
160,161,CHWY,17.32B,322.28,219.01,12.56,1.66,60.06,21.56,72.25,165.00%,1000.00%,15.60%,25.65%,36.80%,39.64,-2.17%,3982761
161,162,CI,79.73B,12.26,9.52,1.11,0.44,1.79,10.05,9.02,35.40%,14.28%,17.10%,11.06%,33.80%,268.83,-0.24%,2894785
